geo,Año,Área,Hectareas
15380,2020,Sembrada,636
15401,2020,Sembrada,473
15403,2020,Sembrada,200
15407,2020,Sembrada,1682
15425,2020,Sembrada,999
15442,2020,Sembrada,2574
15455,2020,Sembrada,1905
15464,2020,Sembrada,381
15466,2020,Sembrada,183
15469,2020,Sembrada,5656
15476,2020,Sembrada,1581
15480,2020,Sembrada,895
15491,2020,Sembrada,535
15494,2020,Sembrada,2033
15500,2020,Sembrada,377
15507,2020,Sembrada,1540
15511,2020,Sembrada,586
15514,2020,Sembrada,671
15516,2020,Sembrada,660
15518,2020,Sembrada,355
15522,2020,Sembrada,233
15531,2020,Sembrada,3242
15533,2020,Sembrada,266
15537,2020,Sembrada,133
15542,2020,Sembrada,832
15550,2020,Sembrada,329
15572,2020,Sembrada,1478
15580,2020,Sembrada,1683
15599,2020,Sembrada,990
15600,2020,Sembrada,1551
15621,2020,Sembrada,433
15632,2020,Sembrada,7533
15638,2020,Sembrada,285
15646,2020,Sembrada,3289
15660,2020,Sembrada,491
15664,2020,Sembrada,4733
15667,2020,Sembrada,828
15673,2020,Sembrada,737
15676,2020,Sembrada,211
15681,2020,Sembrada,1703
15686,2020,Sembrada,3861
15690,2020,Sembrada,417
15693,2020,Sembrada,317
15696,2020,Sembrada,359
15720,2020,Sembrada,289
15723,2020,Sembrada,52
15740,2020,Sembrada,9578
15753,2020,Sembrada,686
15755,2020,Sembrada,1125
15757,2020,Sembrada,175
15759,2020,Sembrada,755
15761,2020,Sembrada,225
15762,2020,Sembrada,484
15763,2020,Sembrada,882
15764,2020,Sembrada,3612
15774,2020,Sembrada,716
15776,2020,Sembrada,537
15778,2020,Sembrada,285
15790,2020,Sembrada,168
15798,2020,Sembrada,435
15804,2020,Sembrada,2167
15806,2020,Sembrada,722
15808,2020,Sembrada,220
15810,2020,Sembrada,320
15814,2020,Sembrada,4822
15816,2020,Sembrada,4896
15820,2020,Sembrada,233
15822,2020,Sembrada,1270
15832,2020,Sembrada,1294
15835,2020,Sembrada,1631
15837,2020,Sembrada,661
15839,2020,Sembrada,1215
15842,2020,Sembrada,1688
15861,2020,Sembrada,5568
15879,2020,Sembrada,1178
15897,2020,Sembrada,1537
15001,2021,Cosechada,4850
15022,2021,Cosechada,309
15047,2021,Cosechada,3503
15051,2021,Cosechada,2723
15087,2021,Cosechada,972
15090,2021,Cosechada,506
15092,2021,Cosechada,152
15097,2021,Cosechada,1002
15104,2021,Cosechada,1024
15106,2021,Cosechada,965
15109,2021,Cosechada,1149
15114,2021,Cosechada,88
15131,2021,Cosechada,969
15135,2021,Cosechada,757
15162,2021,Cosechada,251
15172,2021,Cosechada,267
15176,2021,Cosechada,1158
15180,2021,Cosechada,467
15183,2021,Cosechada,365
15185,2021,Cosechada,5382
15187,2021,Cosechada,374
15189,2021,Cosechada,1356
15204,2021,Cosechada,1864
15212,2021,Cosechada,2447
15215,2021,Cosechada,131
15218,2021,Cosechada,865
15223,2021,Cosechada,227
15224,2021,Cosechada,620
15226,2021,Cosechada,326
15232,2021,Cosechada,1926
15236,2021,Cosechada,126
15238,2021,Cosechada,324
15244,2021,Cosechada,427
15248,2021,Cosechada,135
15272,2021,Cosechada,452
15276,2021,Cosechada,177
15293,2021,Cosechada,641
15296,2021,Cosechada,707
15299,2021,Cosechada,528
15317,2021,Cosechada,255
15322,2021,Cosechada,151
15325,2021,Cosechada,566
15332,2021,Cosechada,186
15362,2021,Cosechada,53
15367,2021,Cosechada,1576
15368,2021,Cosechada,709
15377,2021,Cosechada,532
15380,2021,Cosechada,627
15401,2021,Cosechada,242
15403,2021,Cosechada,186
15407,2021,Cosechada,1873
15425,2021,Cosechada,956
15442,2021,Cosechada,2469
15455,2021,Cosechada,1819
15464,2021,Cosechada,389
15466,2021,Cosechada,230
15469,2021,Cosechada,4535
15476,2021,Cosechada,1574
15480,2021,Cosechada,832
15491,2021,Cosechada,582
15494,2021,Cosechada,2065
15500,2021,Cosechada,360
15507,2021,Cosechada,1259
15511,2021,Cosechada,539
15514,2021,Cosechada,571
15516,2021,Cosechada,427
15518,2021,Cosechada,305
15522,2021,Cosechada,247
15531,2021,Cosechada,3255
15533,2021,Cosechada,252
15537,2021,Cosechada,114
15542,2021,Cosechada,712
15550,2021,Cosechada,321
15572,2021,Cosechada,1060
15580,2021,Cosechada,1481
15599,2021,Cosechada,821
15600,2021,Cosechada,1523
15621,2021,Cosechada,351
15632,2021,Cosechada,6622
15638,2021,Cosechada,290
15646,2021,Cosechada,2752
15660,2021,Cosechada,446
15664,2021,Cosechada,4653
15667,2021,Cosechada,732
15673,2021,Cosechada,691
15676,2021,Cosechada,208
15681,2021,Cosechada,1641
15686,2021,Cosechada,3461
15690,2021,Cosechada,346
15693,2021,Cosechada,382
15696,2021,Cosechada,345
15720,2021,Cosechada,131
15723,2021,Cosechada,23
15740,2021,Cosechada,9975
15753,2021,Cosechada,618
15755,2021,Cosechada,1126
15757,2021,Cosechada,120
15759,2021,Cosechada,651
15761,2021,Cosechada,225
15762,2021,Cosechada,693
15763,2021,Cosechada,829
15764,2021,Cosechada,2518
15774,2021,Cosechada,710
15776,2021,Cosechada,818
15778,2021,Cosechada,362
15790,2021,Cosechada,164
15798,2021,Cosechada,598
15804,2021,Cosechada,1913
15806,2021,Cosechada,725
15808,2021,Cosechada,181
15810,2021,Cosechada,261
15814,2021,Cosechada,4306
15816,2021,Cosechada,3141
15820,2021,Cosechada,250
15822,2021,Cosechada,1193
15832,2021,Cosechada,1252
15835,2021,Cosechada,1379
15837,2021,Cosechada,674
15839,2021,Cosechada,1114
15842,2021,Cosechada,1682
15861,2021,Cosechada,5627
15879,2021,Cosechada,953
15897,2021,Cosechada,1556
15001,2021,Sembrada,4850
15022,2021,Sembrada,326
15047,2021,Sembrada,3630
15051,2021,Sembrada,2731
15087,2021,Sembrada,1034
15090,2021,Sembrada,547
15092,2021,Sembrada,161
15097,2021,Sembrada,1024
15104,2021,Sembrada,1024
15106,2021,Sembrada,1050
15109,2021,Sembrada,1215
15114,2021,Sembrada,90
15131,2021,Sembrada,995
15135,2021,Sembrada,811
15162,2021,Sembrada,276
15172,2021,Sembrada,323
15176,2021,Sembrada,1162
15180,2021,Sembrada,509
15183,2021,Sembrada,421
15185,2021,Sembrada,8446
15187,2021,Sembrada,374
15189,2021,Sembrada,1356
15204,2021,Sembrada,1873
15212,2021,Sembrada,2580
15215,2021,Sembrada,131
15218,2021,Sembrada,945
15223,2021,Sembrada,258
15224,2021,Sembrada,629
15226,2021,Sembrada,333
15232,2021,Sembrada,1985
15236,2021,Sembrada,134
15238,2021,Sembrada,334
15244,2021,Sembrada,446
15248,2021,Sembrada,150
15272,2021,Sembrada,458
15276,2021,Sembrada,179
15293,2021,Sembrada,683
15296,2021,Sembrada,711
15299,2021,Sembrada,577
15317,2021,Sembrada,285
15322,2021,Sembrada,164
15325,2021,Sembrada,595
15332,2021,Sembrada,187
15362,2021,Sembrada,53
15367,2021,Sembrada,1619
15368,2021,Sembrada,757
15377,2021,Sembrada,640
15380,2021,Sembrada,631
15401,2021,Sembrada,262
15403,2021,Sembrada,202
15407,2021,Sembrada,1890
15425,2021,Sembrada,1000
15442,2021,Sembrada,2518
15455,2021,Sembrada,1979
15464,2021,Sembrada,415
15466,2021,Sembrada,231
15469,2021,Sembrada,5342
15476,2021,Sembrada,1595
15480,2021,Sembrada,868
15491,2021,Sembrada,603
15494,2021,Sembrada,2079
15500,2021,Sembrada,360
15507,2021,Sembrada,1407
15511,2021,Sembrada,583
15514,2021,Sembrada,634
15516,2021,Sembrada,453
15518,2021,Sembrada,354
15522,2021,Sembrada,247
15531,2021,Sembrada,3388
15533,2021,Sembrada,275
15537,2021,Sembrada,141
15542,2021,Sembrada,720
15550,2021,Sembrada,331
15572,2021,Sembrada,1213
15580,2021,Sembrada,1672
15599,2021,Sembrada,938
15600,2021,Sembrada,1523
15621,2021,Sembrada,387
15632,2021,Sembrada,6965
15638,2021,Sembrada,294
15646,2021,Sembrada,2891
15660,2021,Sembrada,489
15664,2021,Sembrada,4743
15667,2021,Sembrada,828
15673,2021,Sembrada,691
15676,2021,Sembrada,241
15681,2021,Sembrada,1739
15686,2021,Sembrada,4009
15690,2021,Sembrada,394
15693,2021,Sembrada,407
15696,2021,Sembrada,345
15720,2021,Sembrada,167
15723,2021,Sembrada,34
15740,2021,Sembrada,9977
15753,2021,Sembrada,659
15755,2021,Sembrada,1154
15757,2021,Sembrada,140
15759,2021,Sembrada,706
15761,2021,Sembrada,243
15762,2021,Sembrada,693
15763,2021,Sembrada,885
15764,2021,Sembrada,2715
15774,2021,Sembrada,738
15776,2021,Sembrada,853
15778,2021,Sembrada,406
15790,2021,Sembrada,168
15798,2021,Sembrada,614
15804,2021,Sembrada,2227
15806,2021,Sembrada,739
15808,2021,Sembrada,198
15810,2021,Sembrada,343
15814,2021,Sembrada,4362
15816,2021,Sembrada,4980
15820,2021,Sembrada,256
15822,2021,Sembrada,1308
15832,2021,Sembrada,1284
15835,2021,Sembrada,1450
15837,2021,Sembrada,694
15839,2021,Sembrada,1164
15842,2021,Sembrada,1728
15861,2021,Sembrada,5744
15879,2021,Sembrada,1188
15897,2021,Sembrada,1695
15001,2022,Cosechada,3718
15022,2022,Cosechada,307
15047,2022,Cosechada,3253
15051,2022,Cosechada,1891
15087,2022,Cosechada,879
15090,2022,Cosechada,541
15092,2022,Cosechada,174
15097,2022,Cosechada,1120
15104,2022,Cosechada,999
15106,2022,Cosechada,1008
15109,2022,Cosechada,1181
15114,2022,Cosechada,94
15131,2022,Cosechada,841
15135,2022,Cosechada,658
15162,2022,Cosechada,174
15172,2022,Cosechada,279
15176,2022,Cosechada,1152
15180,2022,Cosechada,444
15183,2022,Cosechada,322
15185,2022,Cosechada,5399
15187,2022,Cosechada,339
15189,2022,Cosechada,1394
15204,2022,Cosechada,1894
15212,2022,Cosechada,1851
15215,2022,Cosechada,123
15218,2022,Cosechada,981
15223,2022,Cosechada,249
15224,2022,Cosechada,470
15226,2022,Cosechada,297
15232,2022,Cosechada,1826
15236,2022,Cosechada,111
15238,2022,Cosechada,382
15244,2022,Cosechada,333
15248,2022,Cosechada,137
15272,2022,Cosechada,342
15276,2022,Cosechada,191
15293,2022,Cosechada,621
15296,2022,Cosechada,710
15299,2022,Cosechada,556
15317,2022,Cosechada,244
15322,2022,Cosechada,156
15325,2022,Cosechada,582
15332,2022,Cosechada,174
15362,2022,Cosechada,37
15367,2022,Cosechada,1589
15368,2022,Cosechada,701
15377,2022,Cosechada,622
15380,2022,Cosechada,601
15401,2022,Cosechada,248
15403,2022,Cosechada,164
15407,2022,Cosechada,1377
15425,2022,Cosechada,977
15442,2022,Cosechada,2448
15455,2022,Cosechada,1843
15464,2022,Cosechada,442
15466,2022,Cosechada,219
15469,2022,Cosechada,5222
15476,2022,Cosechada,1482
15480,2022,Cosechada,838
15491,2022,Cosechada,490
15494,2022,Cosechada,2071
15500,2022,Cosechada,336
15507,2022,Cosechada,1146
15511,2022,Cosechada,550
15514,2022,Cosechada,521
15516,2022,Cosechada,451
15518,2022,Cosechada,252
15522,2022,Cosechada,224
15531,2022,Cosechada,3333
15533,2022,Cosechada,397
15537,2022,Cosechada,116
15542,2022,Cosechada,653
15550,2022,Cosechada,314
15572,2022,Cosechada,888
15580,2022,Cosechada,1508
15599,2022,Cosechada,942
15600,2022,Cosechada,1412
15621,2022,Cosechada,355
15632,2022,Cosechada,7004
15638,2022,Cosechada,326
15646,2022,Cosechada,2927
15660,2022,Cosechada,454
15664,2022,Cosechada,4536
15667,2022,Cosechada,474
15673,2022,Cosechada,848
15676,2022,Cosechada,181
15681,2022,Cosechada,1552
15686,2022,Cosechada,3954
15690,2022,Cosechada,377
15693,2022,Cosechada,374
15696,2022,Cosechada,338
15720,2022,Cosechada,188
15723,2022,Cosechada,36
15740,2022,Cosechada,8661
15753,2022,Cosechada,584
15755,2022,Cosechada,1159
15757,2022,Cosechada,110
15759,2022,Cosechada,587
15761,2022,Cosechada,146
15762,2022,Cosechada,649
15763,2022,Cosechada,871
15764,2022,Cosechada,2009
15774,2022,Cosechada,815
15776,2022,Cosechada,714
15778,2022,Cosechada,409
15790,2022,Cosechada,164
15798,2022,Cosechada,603
15804,2022,Cosechada,2242
15806,2022,Cosechada,680
15808,2022,Cosechada,180
15810,2022,Cosechada,321
15814,2022,Cosechada,5444
15816,2022,Cosechada,3168
15820,2022,Cosechada,192
15822,2022,Cosechada,1089
15832,2022,Cosechada,1021
15835,2022,Cosechada,1339
15837,2022,Cosechada,759
15839,2022,Cosechada,1044
15842,2022,Cosechada,1962
15861,2022,Cosechada,6109
15879,2022,Cosechada,1168
15897,2022,Cosechada,1725
15001,2022,Sembrada,4985
15022,2022,Sembrada,314
15047,2022,Sembrada,3476
15051,2022,Sembrada,2733
15087,2022,Sembrada,905
15090,2022,Sembrada,593
15092,2022,Sembrada,181
15097,2022,Sembrada,1349
15104,2022,Sembrada,885
15106,2022,Sembrada,1105
15109,2022,Sembrada,1238
15114,2022,Sembrada,94
15131,2022,Sembrada,916
15135,2022,Sembrada,746
15162,2022,Sembrada,209
15172,2022,Sembrada,277
15176,2022,Sembrada,1337
15180,2022,Sembrada,485
15183,2022,Sembrada,329
15185,2022,Sembrada,8478
15187,2022,Sembrada,369
15189,2022,Sembrada,1409
15204,2022,Sembrada,2115
15212,2022,Sembrada,2515
15215,2022,Sembrada,126
15218,2022,Sembrada,1068
15223,2022,Sembrada,295
15224,2022,Sembrada,524
15226,2022,Sembrada,312
15232,2022,Sembrada,1860
15236,2022,Sembrada,124
15238,2022,Sembrada,441
15244,2022,Sembrada,275
15248,2022,Sembrada,142
15272,2022,Sembrada,416
15276,2022,Sembrada,194
15293,2022,Sembrada,660
15296,2022,Sembrada,743
15299,2022,Sembrada,590
15317,2022,Sembrada,276
15322,2022,Sembrada,167
15325,2022,Sembrada,614
15332,2022,Sembrada,176
15362,2022,Sembrada,49
15367,2022,Sembrada,1645
15368,2022,Sembrada,738
15377,2022,Sembrada,691
15380,2022,Sembrada,629
15401,2022,Sembrada,266
15403,2022,Sembrada,169
15407,2022,Sembrada,1299
15425,2022,Sembrada,991
15442,2022,Sembrada,2519
15455,2022,Sembrada,1989
15464,2022,Sembrada,471
15466,2022,Sembrada,235
15469,2022,Sembrada,5414
15476,2022,Sembrada,1579
15480,2022,Sembrada,847
15491,2022,Sembrada,511
15494,2022,Sembrada,2095
15500,2022,Sembrada,342
15507,2022,Sembrada,1256
15511,2022,Sembrada,585
15514,2022,Sembrada,630
15516,2022,Sembrada,472
15518,2022,Sembrada,297
15522,2022,Sembrada,237
15531,2022,Sembrada,3449
15533,2022,Sembrada,437
15537,2022,Sembrada,139
15542,2022,Sembrada,695
15550,2022,Sembrada,344
15572,2022,Sembrada,1056
15580,2022,Sembrada,1570
15599,2022,Sembrada,968
15600,2022,Sembrada,1430
15621,2022,Sembrada,393
15632,2022,Sembrada,6834
15638,2022,Sembrada,335
15646,2022,Sembrada,2942
15660,2022,Sembrada,512
15664,2022,Sembrada,4627
15667,2022,Sembrada,549
15673,2022,Sembrada,988
15676,2022,Sembrada,199
15681,2022,Sembrada,1631
15686,2022,Sembrada,4003
15690,2022,Sembrada,400
15693,2022,Sembrada,380
15696,2022,Sembrada,375
15720,2022,Sembrada,204
15723,2022,Sembrada,45
15740,2022,Sembrada,9474
15753,2022,Sembrada,646
15755,2022,Sembrada,1155
15757,2022,Sembrada,92
15759,2022,Sembrada,605
15761,2022,Sembrada,253
15762,2022,Sembrada,672
15763,2022,Sembrada,905
15764,2022,Sembrada,2394
15774,2022,Sembrada,844
15776,2022,Sembrada,785
15778,2022,Sembrada,454
15790,2022,Sembrada,172
15798,2022,Sembrada,523
15804,2022,Sembrada,2370
15806,2022,Sembrada,710
15808,2022,Sembrada,184
