geo,Año,Ciclo del cultivo,Producción (ton)
15664,2019,Permanente,451458
15664,2019,Transitorio,373
15664,2020,Permanente,457140
15664,2020,Transitorio,320
15664,2021,Permanente,452637
15664,2021,Transitorio,166
15664,2022,Permanente,442301
15664,2022,Transitorio,255
15667,2019,Permanente,244
15667,2019,Transitorio,1802
15667,2020,Permanente,368
15667,2020,Transitorio,2148
15667,2021,Permanente,631
15667,2021,Transitorio,2143
15667,2022,Permanente,1004
15667,2022,Transitorio,588
15673,2019,Permanente,947
15673,2019,Transitorio,2075
15673,2020,Permanente,3826
15673,2020,Transitorio,1270
15673,2021,Permanente,1925
15673,2021,Transitorio,1345
15673,2022,Permanente,2832
15673,2022,Transitorio,1510
15676,2019,Permanente,280
15676,2019,Transitorio,1870
15676,2020,Permanente,156
15676,2020,Transitorio,1193
15676,2021,Permanente,403
15676,2021,Transitorio,1893
15676,2022,Permanente,337
15676,2022,Transitorio,1458
15681,2019,Permanente,3986
15681,2019,Transitorio,593
15681,2020,Permanente,3537
15681,2020,Transitorio,687
15681,2021,Permanente,7763
15681,2021,Transitorio,934
15681,2022,Permanente,8035
15681,2022,Transitorio,848
15686,2019,Permanente,162687
15686,2019,Transitorio,1896
15686,2020,Permanente,226417
15686,2020,Transitorio,1899
15686,2021,Permanente,238965
15686,2021,Transitorio,1900
15686,2022,Permanente,283671
15686,2022,Transitorio,1897
15690,2019,Permanente,1202
15690,2019,Transitorio,534
15690,2020,Permanente,1303
15690,2020,Transitorio,692
15690,2021,Permanente,2129
15690,2021,Transitorio,264
15690,2022,Permanente,2377
15690,2022,Transitorio,435
15693,2019,Permanente,9
15693,2019,Transitorio,2965
15693,2020,Permanente,20
15693,2020,Transitorio,3214
15693,2021,Permanente,53
15693,2021,Transitorio,3793
15693,2022,Permanente,143
15693,2022,Transitorio,3583
15696,2019,Permanente,6161
15696,2019,Transitorio,13830
15696,2020,Permanente,8490
15696,2020,Transitorio,11655
15696,2021,Permanente,8480
15696,2021,Transitorio,10752
15696,2022,Permanente,7864
15696,2022,Transitorio,10283
15720,2019,Permanente,543
15720,2019,Transitorio,2129
15720,2020,Permanente,514
15720,2020,Transitorio,1993
15720,2021,Permanente,113
15720,2021,Transitorio,1350
15720,2022,Permanente,654
15720,2022,Transitorio,1655
15723,2019,Permanente,0
15723,2019,Transitorio,191
15723,2020,Permanente,0
15723,2020,Transitorio,155
15723,2021,Permanente,6
15723,2021,Transitorio,135
15723,2022,Permanente,9
15723,2022,Transitorio,211
15740,2019,Permanente,97
15740,2019,Transitorio,142590
15740,2020,Permanente,120
15740,2020,Transitorio,180495
15740,2021,Permanente,100
15740,2021,Transitorio,168321
15740,2022,Permanente,144
15740,2022,Transitorio,143604
15753,2019,Permanente,1790
15753,2019,Transitorio,1508
15753,2020,Permanente,2283
15753,2020,Transitorio,2105
15753,2021,Permanente,2304
15753,2021,Transitorio,1823
15753,2022,Permanente,2542
15753,2022,Transitorio,3019
15755,2019,Permanente,3422
15755,2019,Transitorio,13276
15755,2020,Permanente,3822
15755,2020,Transitorio,11133
15755,2021,Permanente,3854
15755,2021,Transitorio,13775
15755,2022,Permanente,4251
15755,2022,Transitorio,12215
15757,2019,Permanente,120
15757,2019,Transitorio,1477
15757,2020,Permanente,3
15757,2020,Transitorio,1271
15757,2021,Permanente,27
15757,2021,Transitorio,843
15757,2022,Permanente,9
15757,2022,Transitorio,1151
15759,2019,Permanente,91
15759,2019,Transitorio,12108
15759,2020,Permanente,66
15759,2020,Transitorio,9777
15759,2021,Permanente,51
15759,2021,Transitorio,8726
15759,2022,Permanente,106
15759,2022,Transitorio,7427
15761,2019,Permanente,614
15761,2019,Transitorio,661
15761,2020,Permanente,783
15761,2020,Transitorio,577
15761,2021,Permanente,800
15761,2021,Transitorio,520
15761,2022,Permanente,304
15761,2022,Transitorio,895
15762,2019,Transitorio,9040
15762,2020,Transitorio,7667
15762,2021,Transitorio,11766
15762,2022,Transitorio,13984
15763,2019,Permanente,10804
15763,2019,Transitorio,18869
15763,2020,Permanente,5654
15763,2020,Transitorio,9442
15763,2021,Permanente,3452
15763,2021,Transitorio,14084
15763,2022,Permanente,4384
15763,2022,Transitorio,13829
15764,2019,Permanente,640
15764,2019,Transitorio,74955
15764,2020,Permanente,935
15764,2020,Transitorio,70431
15764,2021,Permanente,432
15764,2021,Transitorio,51192
15764,2022,Permanente,972
15764,2022,Transitorio,37463
15774,2019,Permanente,924
15774,2019,Transitorio,3813
15774,2020,Permanente,1054
15774,2020,Transitorio,5244
15774,2021,Permanente,1096
15774,2021,Transitorio,5630
15774,2022,Permanente,1275
15774,2022,Transitorio,6627
15776,2019,Permanente,2801
15776,2019,Transitorio,20562
15776,2020,Permanente,3347
15776,2020,Transitorio,16880
15776,2021,Permanente,2918
15776,2021,Transitorio,46979
15776,2022,Permanente,2714
15776,2022,Transitorio,42195
15778,2019,Permanente,552
15778,2019,Transitorio,1084
15778,2020,Permanente,600
15778,2020,Transitorio,891
15778,2021,Permanente,538
15778,2021,Transitorio,939
15778,2022,Permanente,1680
15778,2022,Transitorio,1177
15790,2019,Permanente,48
15790,2019,Transitorio,767
15790,2020,Permanente,32
15790,2020,Transitorio,658
15790,2021,Permanente,206
15790,2021,Transitorio,1429
15790,2022,Permanente,179
15790,2022,Transitorio,1523
15798,2019,Permanente,973
15798,2019,Transitorio,6346
15798,2020,Permanente,401
15798,2020,Transitorio,4360
15798,2021,Permanente,2852
15798,2021,Transitorio,3505
15798,2022,Permanente,3238
15798,2022,Transitorio,4232
15804,2019,Permanente,34738
15804,2019,Transitorio,5260
15804,2020,Permanente,32278
15804,2020,Transitorio,5303
15804,2021,Permanente,40525
15804,2021,Transitorio,4780
15804,2022,Permanente,76205
15804,2022,Transitorio,6064
15806,2019,Permanente,200
15806,2019,Transitorio,16902
15806,2020,Permanente,212
15806,2020,Transitorio,16025
15806,2021,Permanente,212
15806,2021,Transitorio,20117
15806,2022,Permanente,212
15806,2022,Transitorio,20344
15808,2019,Permanente,520
15808,2019,Transitorio,4595
15808,2020,Permanente,511
15808,2020,Transitorio,4524
15808,2021,Permanente,218
15808,2021,Transitorio,3283
15808,2022,Permanente,227
15808,2022,Transitorio,3463
15810,2019,Permanente,692
15810,2019,Transitorio,895
15810,2020,Permanente,1393
15810,2020,Transitorio,1965
15810,2021,Permanente,2061
15810,2021,Transitorio,808
15810,2022,Permanente,2947
15810,2022,Transitorio,1298
15814,2019,Permanente,1038
15814,2019,Transitorio,65203
15814,2020,Permanente,1142
15814,2020,Transitorio,78555
15814,2021,Permanente,1330
15814,2021,Transitorio,92704
15814,2022,Permanente,1295
15814,2022,Transitorio,92207
15816,2019,Permanente,132744
15816,2019,Transitorio,1873
15816,2020,Permanente,265684
15816,2020,Transitorio,2172
15816,2021,Permanente,201244
15816,2021,Transitorio,1471
15816,2022,Permanente,183142
15816,2022,Transitorio,1627
15820,2019,Permanente,0
15820,2019,Transitorio,3002
15820,2020,Permanente,0
15820,2020,Transitorio,3495
15820,2021,Permanente,334
15820,2021,Transitorio,3032
15820,2022,Permanente,324
15820,2022,Transitorio,2041
15822,2019,Permanente,84
15822,2019,Transitorio,20370
15822,2020,Permanente,100
15822,2020,Transitorio,17267
15822,2021,Permanente,96
15822,2021,Transitorio,14316
15822,2022,Permanente,114
15822,2022,Transitorio,14031
15832,2019,Permanente,14302
15832,2019,Transitorio,632
15832,2020,Permanente,13851
15832,2020,Transitorio,638
15832,2021,Permanente,14070
15832,2021,Transitorio,550
15832,2022,Permanente,10235
15832,2022,Transitorio,567
15835,2019,Permanente,4180
15835,2019,Transitorio,10150
15835,2020,Permanente,7662
15835,2020,Transitorio,15219
15835,2021,Permanente,10755
15835,2021,Transitorio,14246
15835,2022,Permanente,10390
15835,2022,Transitorio,13382
15837,2019,Permanente,1285
15837,2019,Transitorio,6388
15837,2020,Permanente,1492
15837,2020,Transitorio,5936
15837,2021,Permanente,1841
15837,2021,Transitorio,6379
15837,2022,Permanente,1696
15837,2022,Transitorio,11407
15839,2019,Permanente,68
15839,2019,Transitorio,34512
15839,2020,Permanente,67
15839,2020,Transitorio,34320
15839,2021,Permanente,161
15839,2021,Transitorio,20439
15839,2022,Permanente,171
15839,2022,Transitorio,21383
15842,2019,Permanente,4064
15842,2019,Transitorio,21329
15842,2020,Permanente,4233
15842,2020,Transitorio,26141
15842,2021,Permanente,4478
15842,2021,Transitorio,24051
15842,2022,Permanente,1955
15842,2022,Transitorio,30865
