geo,Municipio,Incendios,Año
15835,Turmequé,3,2020
15835,Turmequé,2,2021
15835,Turmequé,1,2022
15835,Turmequé,1,2023
15835,Turmequé,3,2024
15835,Turmequé,1,2025
15837,Tuta,5,2020
15837,Tuta,1,2021
15837,Tuta,3,2023
15837,Tuta,7,2024
15837,Tuta,1,2025
15839,Tutazá,1,2021
15839,Tutazá,2,2023
15839,Tutazá,1,2024
15842,Umbita,1,2020
15842,Umbita,1,2023
15842,Umbita,4,2024
15842,Umbita,1,2025
15861,Ventaquemada,1,2020
15861,Ventaquemada,2,2022
15861,Ventaquemada,2,2023
15861,Ventaquemada,1,2024
15861,Ventaquemada,2,2025
15879,Viracachá,3,2024
15897,Zetaquirá,2,2020
15897,Zetaquirá,2,2023
15897,Zetaquirá,2,2024
15897,Zetaquirá,1,2025
