geo,Municipio,Cultivo,Año,Área sembrada(ha)
15774,Susacón,Durazno o Albaricoque,2019,15
15774,Susacón,Manzana,2019,3
15774,Susacón,Pera,2019,5
15774,Susacón,Agraz - Mortiño,2019,4
15774,Susacón,Arándano,2019,3
15774,Susacón,Fresa,2019,7
15774,Susacón,Feijoa,2019,3
15774,Susacón,Lulo,2019,6
15774,Susacón,Tomate de árbol,2019,2
15776,Sutamarchán,Arándano,2019,4
15776,Sutamarchán,Fresa,2019,17
15776,Sutamarchán,Higo,2019,0.5
15776,Sutamarchán,Curuba,2019,120
15776,Sutamarchán,Gulupa o cholupa,2019,19
15776,Sutamarchán,Tomate de árbol,2019,40
15778,Sutatenza,Durazno o Albaricoque,2019,4
15778,Sutatenza,Plátano,2019,5
15778,Sutatenza,Lulo,2019,10
15790,Tasco,Ciruela,2019,1
15790,Tasco,Durazno o Albaricoque,2019,3
15790,Tasco,Manzana,2019,1
15790,Tasco,Pera,2019,2
15790,Tasco,Fresa,2019,2
15798,Tenza,Banano,2019,8
15798,Tenza,Maracuyá,2019,5
15798,Tenza,Lulo,2019,7
15804,Tibaná,Ciruela,2019,108
15804,Tibaná,Durazno o Albaricoque,2019,40
15804,Tibaná,Manzana,2019,270
15804,Tibaná,Pera,2019,613
15804,Tibaná,Feijoa,2019,52
15804,Tibaná,Curuba,2019,21
15804,Tibaná,Lulo,2019,38
15804,Tibaná,Tomate de árbol,2019,66
15804,Tibaná,Uchuva,2019,63
15806,Tibasosa,Durazno o Albaricoque,2019,6
15806,Tibasosa,Feijoa,2019,33
15808,Tinjacá,Durazno o Albaricoque,2019,4
15808,Tinjacá,Fresa,2019,9
15808,Tinjacá,Mora,2019,2.5
15808,Tinjacá,Curuba,2019,11
15808,Tinjacá,Lulo,2019,1
15808,Tinjacá,Tomate de árbol,2019,7
15810,Tipacoque,Durazno o Albaricoque,2019,63
15810,Tipacoque,Aguacate,2019,3
15810,Tipacoque,Mango,2019,2
15814,Toca,Fresa,2019,38
15814,Toca,Mora,2019,24
15816,Togüí,Aguacate,2019,9
15816,Togüí,Banano,2019,75
15816,Togüí,Plátano,2019,443
15816,Togüí,Lulo,2019,2
15820,Tópaga,Otros caducifoleos,2019,5
15822,Tota,Fresa,2019,6
15832,Tununguá,Guanábana,2019,270
15832,Tununguá,Mandarina,2019,30
15832,Tununguá,Naranja,2019,111
15832,Tununguá,Aguacate,2019,142
15832,Tununguá,Pitahaya,2019,15
15832,Tununguá,Plátano,2019,86
15832,Tununguá,Arazá,2019,7
15832,Tununguá,Guayaba,2019,374
15835,Turmequé,Ciruela,2019,145
15835,Turmequé,Durazno o Albaricoque,2019,50
15835,Turmequé,Manzana,2019,45
15835,Turmequé,Pera,2019,10
15835,Turmequé,Curuba,2019,346
15835,Turmequé,Tomate de árbol,2019,49
15837,Tuta,Ciruela,2019,17
15837,Tuta,Durazno o Albaricoque,2019,36
15837,Tuta,Manzana,2019,3
15837,Tuta,Arándano,2019,4
15837,Tuta,Fresa,2019,58
15837,Tuta,Mora,2019,6
15837,Tuta,Tomate de árbol,2019,8
15837,Tuta,Uchuva,2019,4
15839,Tutazá,Pera,2019,2
15839,Tutazá,Brevo,2019,6
15839,Tutazá,Mora,2019,1
15842,Úmbita,Ciruela,2019,3
15842,Úmbita,Durazno o Albaricoque,2019,6
15842,Úmbita,Aguacate,2019,0.5
15842,Úmbita,Arándano,2019,2
15842,Úmbita,Fresa,2019,1.5
15842,Úmbita,Mora,2019,7.5
15842,Úmbita,Curuba,2019,98
15842,Úmbita,Granadilla,2019,2
15842,Úmbita,Tomate de árbol,2019,28
15842,Úmbita,Uchuva,2019,31
15861,Ventaquemada,Ciruela,2019,3
15861,Ventaquemada,Arándano,2019,25
15861,Ventaquemada,Mora,2019,13
15861,Ventaquemada,Tomate de árbol,2019,27
15861,Ventaquemada,Uchuva,2019,130
15879,Viracachá,Durazno o Albaricoque,2019,2
15879,Viracachá,Fresa,2019,8
15879,Viracachá,Mora,2019,23
15879,Viracachá,Feijoa,2019,6
15879,Viracachá,Lulo,2019,4
15879,Viracachá,Tomate de árbol,2019,9
15879,Viracachá,Uchuva,2019,18
15897,Zetaquira,Durazno o Albaricoque,2019,23
15897,Zetaquira,Mora,2019,5
15897,Zetaquira,Pitahaya,2019,35
15897,Zetaquira,Plátano,2019,39
15897,Zetaquira,Granadilla,2019,4
15897,Zetaquira,Gulupa o cholupa,2019,16
15897,Zetaquira,Lulo,2019,6
15001,Tunja,Fresa,2020,3
15022,Almeida,Granadilla,2020,4
15022,Almeida,Lulo,2020,8
15047,Aquitania,Fresa,2020,6
15047,Aquitania,Gulupa o cholupa,2020,2
15047,Aquitania,Uchuva,2020,1
15051,Arcabuco,Arándano,2020,3
15051,Arcabuco,Fresa,2020,15
15051,Arcabuco,Mora,2020,93
15051,Arcabuco,Tomate de árbol,2020,13
15051,Arcabuco,Uchuva,2020,13
15087,Belén,Ciruela,2020,3
15087,Belén,Durazno o Albaricoque,2020,4
15087,Belén,Mora,2020,5
15087,Belén,Feijoa,2020,2
15087,Belén,Curuba,2020,2
15087,Belén,Tomate de árbol,2020,4
15087,Belén,Uchuva,2020,7
15090,Berbeo,Pitahaya,2020,18
15090,Berbeo,Plátano,2020,9
15090,Berbeo,Chamba,2020,4
15090,Berbeo,Maracuyá,2020,5
15092,Betéitiva,Durazno o Albaricoque,2020,5
15092,Betéitiva,Uchuva,2020,5
15097,Boavita,Durazno o Albaricoque,2020,12
15097,Boavita,Otros cítricos,2020,94
15097,Boavita,Mango,2020,15
15097,Boavita,Plátano,2020,30
15104,Boyacá,Arándano,2020,0.64
15104,Boyacá,Mora,2020,17
15104,Boyacá,Tomate de árbol,2020,13
15104,Boyacá,Uchuva,2020,3
15106,Briceño,Guanábana,2020,93
15106,Briceño,Naranja,2020,43
15106,Briceño,Aguacate,2020,27
15106,Briceño,Mora,2020,39
15106,Briceño,Pitahaya,2020,4
15106,Briceño,Plátano,2020,47
15106,Briceño,Guayaba,2020,302
15106,Briceño,Lulo,2020,65
15109,Buenavista,Guanábana,2020,16
15109,Buenavista,Mandarina,2020,73
15109,Buenavista,Naranja,2020,100
15109,Buenavista,Aguacate,2020,50
15109,Buenavista,Aguacate,2020,15
15109,Buenavista,Mora,2020,10
15109,Buenavista,Gulupa o cholupa,2020,24
15109,Buenavista,Tomate de árbol,2020,95
15114,Busbanzá,Durazno o Albaricoque,2020,1
15114,Busbanzá,Higo,2020,0.3
15114,Busbanzá,Feijoa,2020,1
15131,Caldas,Fresa,2020,6
15131,Caldas,Mora,2020,5
15131,Caldas,Papayuela -Babaco,2020,20
15131,Caldas,Curuba,2020,20
15131,Caldas,Tomate de árbol,2020,12
15135,Campohermoso,Aguacate,2020,14
15135,Campohermoso,Mora,2020,0.25
15135,Campohermoso,Plátano,2020,122
15135,Campohermoso,Granadilla,2020,8
15162,Cerinza,Durazno o Albaricoque,2020,2
15162,Cerinza,Manzana,2020,2
15162,Cerinza,Uchuva,2020,5
15172,Chinavita,Aguacate,2020,28
15172,Chinavita,Mora,2020,1
15172,Chinavita,Plátano,2020,22
15172,Chinavita,Granadilla,2020,4
15172,Chinavita,Tomate de árbol,2020,2.5
15176,Chiquinquirá,Fresa,2020,8
15176,Chiquinquirá,Mora,2020,32
15176,Chiquinquirá,Feijoa,2020,7
15176,Chiquinquirá,Curuba,2020,18
15176,Chiquinquirá,Lulo,2020,22
15176,Chiquinquirá,Tomate de árbol,2020,48
15180,Chiscas,Chirimoya,2020,64
15180,Chiscas,Durazno o Albaricoque,2020,6
15180,Chiscas,Naranja,2020,9
15180,Chiscas,Mora,2020,6
15180,Chiscas,Tomate de árbol,2020,6
15183,Chita,Durazno o Albaricoque,2020,15
15183,Chita,Brevo,2020,70
15183,Chita,Mora,2020,4
15183,Chita,Tomate de árbol,2020,5
15185,Chitaraque,Limón,2020,8
15185,Chitaraque,Limón,2020,11
15185,Chitaraque,Naranja,2020,12
15185,Chitaraque,Naranja,2020,4
15185,Chitaraque,Plátano,2020,205
15185,Chitaraque,Lulo,2020,14
15187,Chivatá,Fresa,2020,2.7
15189,Ciénega,Mora,2020,56
