Año,geo,variable,Dependencia economica,Categoria
2018,15542,PESCA,0.007300,Centros poblados y rural disperso
2018,15550,PISBA,0.093800,Centros poblados y rural disperso
2018,15572,PUERTO BOYACÁ,0.086100,Centros poblados y rural disperso
2018,15580,QUÍPAMA,0.351900,Centros poblados y rural disperso
2018,15599,RAMIRIQUÍ,0.005500,Centros poblados y rural disperso
2018,15600,RÁQUIRA,0.014500,Centros poblados y rural disperso
2018,15621,RONDÓN,0.020800,Centros poblados y rural disperso
2018,15632,SABOYÁ,0.021200,Centros poblados y rural disperso
2018,15638,SÁCHICA,0.005100,Centros poblados y rural disperso
2018,15646,SAMACÁ,0.001500,Centros poblados y rural disperso
2018,15660,SAN EDUARDO,0.041900,Centros poblados y rural disperso
2018,15664,SAN JOSÉ DE PARE,0.050900,Centros poblados y rural disperso
2018,15667,SAN LUIS DE GACENO,0.154100,Centros poblados y rural disperso
2018,15673,SAN MATEO,0.008900,Centros poblados y rural disperso
2018,15676,SAN MIGUEL DE SEMA,0.019700,Centros poblados y rural disperso
2018,15681,SAN PABLO DE BORBUR,0.055200,Centros poblados y rural disperso
2018,15686,SANTANA,0.064600,Centros poblados y rural disperso
2018,15690,SANTA MARÍA,0.128300,Centros poblados y rural disperso
2018,15693,SANTA ROSA DE VITERBO,0.002300,Centros poblados y rural disperso
2018,15696,SANTA SOFÍA,0.006700,Centros poblados y rural disperso
2018,15720,SATIVANORTE,0.016300,Centros poblados y rural disperso
2018,15723,SATIVASUR,0.006600,Centros poblados y rural disperso
2018,15740,SIACHOQUE,0.004300,Centros poblados y rural disperso
2018,15753,SOATÁ,0.003000,Centros poblados y rural disperso
2018,15755,SOCOTÁ,0.021200,Centros poblados y rural disperso
2018,15757,SOCHA,0.000300,Centros poblados y rural disperso
2018,15759,SOGAMOSO,0.004000,Centros poblados y rural disperso
2018,15761,SOMONDOCO,0.009600,Centros poblados y rural disperso
2018,15762,SORA,0.000900,Centros poblados y rural disperso
2018,15763,SOTAQUIRÁ,0.013800,Centros poblados y rural disperso
2018,15764,SORACÁ,0.000900,Centros poblados y rural disperso
2018,15774,SUSACÓN,0.002500,Centros poblados y rural disperso
2018,15776,SUTAMARCHÁN,0.002700,Centros poblados y rural disperso
2018,15778,SUTATENZA,0.020200,Centros poblados y rural disperso
2018,15790,TASCO,0.003800,Centros poblados y rural disperso
2018,15798,TENZA,0.034500,Centros poblados y rural disperso
2018,15804,TIBANÁ,0.009000,Centros poblados y rural disperso
2018,15806,TIBASOSA,0.003800,Centros poblados y rural disperso
2018,15808,TINJACÁ,0.005100,Centros poblados y rural disperso
2018,15810,TIPACOQUE,0.004000,Centros poblados y rural disperso
2018,15814,TOCA,0.004000,Centros poblados y rural disperso
2018,15816,TOGÜÍ,0.094800,Centros poblados y rural disperso
2018,15820,TÓPAGA,0.016300,Centros poblados y rural disperso
