Año,geo,variable,Categoria,Componente servicio
2018,15218,COVARACHÍA,Centros poblados y rural disperso,0.113455
2018,15223,CUBARÁ,Centros poblados y rural disperso,0.661292
2018,15224,CUCAITA,Centros poblados y rural disperso,0.000521
2018,15226,CUÍTIVA,Centros poblados y rural disperso,0.010167
2018,15232,CHÍQUIZA,Centros poblados y rural disperso,0.010209
2018,15236,CHIVOR,Centros poblados y rural disperso,0.007597
2018,15238,DUITAMA,Centros poblados y rural disperso,0.002409
2018,15244,EL COCUY,Centros poblados y rural disperso,0.039889
2018,15248,EL ESPINO,Centros poblados y rural disperso,0.008766
2018,15272,FIRAVITOBA,Centros poblados y rural disperso,0.009665
2018,15276,FLORESTA,Centros poblados y rural disperso,0.012708
2018,15293,GACHANTIVÁ,Centros poblados y rural disperso,0.023755
2018,15296,GAMEZA,Centros poblados y rural disperso,0.026675
2018,15299,GARAGOA,Centros poblados y rural disperso,0.021739
2018,15317,GUACAMAYAS,Centros poblados y rural disperso,0.027350
2018,15322,GUATEQUE,Centros poblados y rural disperso,0.005653
2018,15325,GUAYATÁ,Centros poblados y rural disperso,0.009597
2018,15332,GÜICÁN,Centros poblados y rural disperso,0.300964
2018,15362,IZA,Centros poblados y rural disperso,0.005096
2018,15367,JENESANO,Centros poblados y rural disperso,0.009732
2018,15368,JERICÓ,Centros poblados y rural disperso,0.211207
2018,15377,LABRANZAGRANDE,Centros poblados y rural disperso,0.203398
2018,15380,LA CAPILLA,Centros poblados y rural disperso,0.006598
2018,15401,LA VICTORIA,Centros poblados y rural disperso,0.082803
2018,15403,LA UVITA,Centros poblados y rural disperso,0.049936
2018,15407,VILLA DE LEYVA,Centros poblados y rural disperso,0.002651
2018,15425,MACANAL,Centros poblados y rural disperso,0.001973
2018,15442,MARIPÍ,Centros poblados y rural disperso,0.074146
2018,15455,MIRAFLORES,Centros poblados y rural disperso,0.003022
2018,15464,MONGUA,Centros poblados y rural disperso,0.083622
2018,15466,MONGUÍ,Centros poblados y rural disperso,0.003189
2018,15469,MONIQUIRÁ,Centros poblados y rural disperso,0.023439
