geo,Municipio,Desagregación cultivo,Año,Área sembrada,Ciclo del cultivo
15720,Sativanorte,Haba,2019,2.000000,Transitorio
15723,Sativasur,Arveja,2019,7.000000,Transitorio
15723,Sativasur,Arveja,2019,3.000000,Transitorio
15723,Sativasur,Frijol,2019,12.000000,Transitorio
15723,Sativasur,Haba,2019,3.000000,Transitorio
15740,Siachoque,Arveja,2019,200.000000,Transitorio
15740,Siachoque,Arveja,2019,200.000000,Transitorio
15740,Siachoque,Haba,2019,25.000000,Transitorio
15740,Siachoque,Haba,2019,25.000000,Transitorio
15753,Soatá,Arveja,2019,12.000000,Transitorio
15753,Soatá,Arveja,2019,15.000000,Transitorio
15753,Soatá,Frijol,2019,65.000000,Transitorio
15753,Soatá,Frijol,2019,60.000000,Transitorio
15755,Socotá,Arveja,2019,43.000000,Transitorio
15755,Socotá,Arveja,2019,38.000000,Transitorio
15755,Socotá,Frijol,2019,40.000000,Transitorio
15755,Socotá,Frijol,2019,37.000000,Transitorio
15757,Socha,Arveja,2019,3.000000,Transitorio
15757,Socha,Arveja,2019,4.000000,Transitorio
15757,Socha,Frijol,2019,4.000000,Transitorio
15757,Socha,Frijol,2019,4.000000,Transitorio
15759,Sogamoso,Arveja,2019,50.000000,Transitorio
15759,Sogamoso,Arveja,2019,35.000000,Transitorio
15759,Sogamoso,Frijol,2019,8.000000,Transitorio
15759,Sogamoso,Frijol,2019,10.000000,Transitorio
15759,Sogamoso,Haba,2019,6.000000,Transitorio
15759,Sogamoso,Haba,2019,1.000000,Transitorio
15761,Somondoco,Frijol,2019,4.000000,Transitorio
15761,Somondoco,Frijol,2019,15.000000,Transitorio
15762,Sora,Arveja,2019,11.000000,Transitorio
15762,Sora,Arveja,2019,16.000000,Transitorio
15763,Sotaquirá,Arveja,2019,16.000000,Transitorio
15763,Sotaquirá,Frijol,2019,14.000000,Transitorio
15763,Sotaquirá,Haba,2019,6.000000,Transitorio
15764,Soracá,Arveja,2019,70.000000,Transitorio
15764,Soracá,Arveja,2019,120.000000,Transitorio
15774,Susacón,Arveja,2019,12.000000,Transitorio
15774,Susacón,Arveja,2019,7.000000,Transitorio
15774,Susacón,Frijol,2019,10.000000,Transitorio
15774,Susacón,Frijol,2019,10.000000,Transitorio
15776,Sutamarchán,Arveja,2019,15.000000,Transitorio
15776,Sutamarchán,Arveja,2019,15.000000,Transitorio
15778,Sutatenza,Arveja,2019,15.000000,Transitorio
15778,Sutatenza,Frijol,2019,40.000000,Transitorio
15778,Sutatenza,Frijol,2019,40.000000,Transitorio
15778,Sutatenza,Habichuela,2019,4.000000,Transitorio
15778,Sutatenza,Habichuela,2019,2.000000,Transitorio
15790,Tasco,Arveja,2019,11.000000,Transitorio
15790,Tasco,Arveja,2019,10.000000,Transitorio
15790,Tasco,Frijol,2019,18.000000,Transitorio
15790,Tasco,Frijol,2019,1.000000,Transitorio
15790,Tasco,Haba,2019,3.000000,Transitorio
15798,Tenza,Arveja,2019,22.000000,Transitorio
15798,Tenza,Arveja,2019,11.000000,Transitorio
15798,Tenza,Frijol,2019,8.000000,Transitorio
15798,Tenza,Frijol,2019,114.000000,Transitorio
15798,Tenza,Habichuela,2019,24.000000,Transitorio
15798,Tenza,Habichuela,2019,19.000000,Transitorio
15804,Tibaná,Arveja,2019,60.000000,Transitorio
15804,Tibaná,Arveja,2019,40.000000,Transitorio
15804,Tibaná,Frijol,2019,25.000000,Transitorio
15804,Tibaná,Frijol,2019,25.000000,Transitorio
15806,Tibasosa,Arveja,2019,15.000000,Transitorio
15808,Tinjacá,Arveja,2019,10.000000,Transitorio
15808,Tinjacá,Arveja,2019,7.000000,Transitorio
15808,Tinjacá,Frijol,2019,9.000000,Transitorio
15808,Tinjacá,Frijol,2019,5.000000,Transitorio
15808,Tinjacá,Habichuela,2019,13.000000,Transitorio
15808,Tinjacá,Habichuela,2019,5.000000,Transitorio
15810,Tipacoque,Frijol,2019,17.000000,Transitorio
15810,Tipacoque,Frijol,2019,12.000000,Transitorio
15814,Toca,Arveja,2019,110.000000,Transitorio
15814,Toca,Arveja,2019,90.000000,Transitorio
15816,Togüí,Frijol,2019,12.000000,Transitorio
15816,Togüí,Frijol,2019,6.000000,Transitorio
15820,Tópaga,Arveja,2019,12.000000,Transitorio
15820,Tópaga,Arveja,2019,4.000000,Transitorio
15822,Tota,Arveja,2019,110.000000,Transitorio
15822,Tota,Arveja,2019,150.000000,Transitorio
15822,Tota,Haba,2019,30.000000,Transitorio
15822,Tota,Haba,2019,30.000000,Transitorio
