geo,Año,Rango de edad,Sexo,Casos
15223,2024,Infancia,Hombre,4
15223,2024,Juventud,Mujer,2
15223,2024,Primera infancia,Mujer,6
15223,2024,Primera infancia,Hombre,5
15223,2024,Vejez,Mujer,3
15223,2024,Vejez,Hombre,1
15224,2020,Adultez,Mujer,4
15224,2020,Juventud,Mujer,2
15224,2020,Juventud,Hombre,1
15224,2021,Adolescencia,Mujer,2
15224,2021,Adolescencia,Hombre,1
15224,2021,Adultez,Mujer,6
15224,2021,Infancia,Mujer,1
15224,2021,Juventud,Mujer,4
15224,2022,Adolescencia,Mujer,1
15224,2022,Adultez,Mujer,4
15224,2022,Juventud,Mujer,7
15224,2022,Juventud,Hombre,1
15224,2022,Vejez,Mujer,1
15224,2023,Adolescencia,Mujer,5
15224,2023,Adolescencia,Hombre,1
15224,2023,Adultez,Mujer,14
15224,2023,Adultez,Hombre,2
15224,2023,Infancia,Mujer,1
15224,2023,Infancia,Hombre,1
15224,2023,Juventud,Mujer,8
15224,2023,Primera infancia,Mujer,2
15224,2023,Vejez,Mujer,1
15224,2024,Adolescencia,Mujer,1
15224,2024,Adultez,Mujer,7
15224,2024,Juventud,Mujer,3
15224,2024,Juventud,Hombre,1
15224,2024,Vejez,Mujer,1
15226,2020,Adolescencia,Mujer,2
15226,2020,Adultez,Mujer,5
15226,2020,Adultez,Hombre,1
15226,2020,Infancia,Mujer,1
15226,2020,Infancia,Hombre,2
15226,2020,Juventud,Mujer,6
15226,2020,Primera infancia,Hombre,1
15226,2020,Vejez,Mujer,3
15226,2021,Adolescencia,Mujer,2
15226,2021,Adolescencia,Hombre,1
