geo,Municipio,Cultivo,Año,Rendimiento (t/ha)
15317,GUACAMAYAS,Cafe,2012,1
15696,SANTA SOFIA,Cafe,2012,75
15322,GUATEQUE,Cafe,2012,12
15667,SAN LUIS DE GACENO,Cafe,2012,3
15690,SANTA MARIA,Cafe,2012,75
15774,SUSACON,Cafe,2012,1
15218,COVARACHIA,Cafe,2012,
15248,EL ESPINO,Cafe,2012,4
15380,LA CAPILLA,Cafe,2012,
15469,MONIQUIRA,Cafe,2013,64
15897,ZETAQUIRA,Cafe,2013,64
15455,MIRAFLORES,Cafe,2013,64
15664,SAN JOSE DE PARE,Cafe,2013,64
15816,TOGUI,Cafe,2013,61
15686,SANTANA,Cafe,2013,64
15106,BRICEÑO,Cafe,2013,56
15185,CHITARAQUE,Cafe,2013,56
15090,BERBEO,Cafe,2013,56
15109,BUENAVISTA,Cafe,2013,64
15531,PAUNA,Cafe,2013,64
15442,MARIPI,Cafe,2013,55
15325,GUAYATA,Cafe,2013,4
15212,COPER,Cafe,2013,4
15514,PAEZ,Cafe,2013,64
15681,SAN PABLO DE BORBUR,Cafe,2013,48
15660,SAN EDUARDO,Cafe,2013,64
15507,OTANCHE,Cafe,2013,64
15832,TUNUNGUA,Cafe,2013,64
15135,CAMPOHERMOSO,Cafe,2013,56
15580,QUIPAMA,Cafe,2013,64
15299,GARAGOA,Cafe,2013,4
15511,PACHAVITA,Cafe,2013,4
15401,LA VICTORIA,Cafe,2013,64
15550,PISBA,Cafe,2013,64
15425,MACANAL,Cafe,2013,64
15621,RONDON,Cafe,2013,56
15798,TENZA,Cafe,2013,9
15480,MUZO,Cafe,2013,64
15022,ALMEIDA,Cafe,2013,64
15172,CHINAVITA,Cafe,2013,64
15377,LABRANZAGRANDE,Cafe,2013,64
15761,SOMONDOCO,Cafe,2013,4
15322,GUATEQUE,Cafe,2013,64
15518,PAJARITO,Cafe,2013,4
15533,PAYA,Cafe,2013,64
15317,GUACAMAYAS,Cafe,2013,1
15667,SAN LUIS DE GACENO,Cafe,2013,4
15690,SANTA MARIA,Cafe,2013,56
15469,MONIQUIRA,Cafe,2014,69
15897,ZETAQUIRA,Cafe,2014,69
15455,MIRAFLORES,Cafe,2014,69
15664,SAN JOSE DE PARE,Cafe,2014,69
15816,TOGUI,Cafe,2014,66
15686,SANTANA,Cafe,2014,69
15090,BERBEO,Cafe,2014,61
15109,BUENAVISTA,Cafe,2014,69
15106,BRICEÑO,Cafe,2014,61
15185,CHITARAQUE,Cafe,2014,61
15531,PAUNA,Cafe,2014,69
