geo,Municipio,Desagregación cultivo,Año,Área sembrada
15236,Chivor,Otras hortalizas,2020,1
15238,Duitama,Brócoli,2020,6
15238,Duitama,Brócoli,2020,6
15238,Duitama,Tomate Invernadero,2020,2
15238,Duitama,Tomate Invernadero,2020,2
15238,Duitama,Cilantro,2020,6
15238,Duitama,Cilantro,2020,6
15238,Duitama,Espinaca,2020,10
15238,Duitama,Espinaca,2020,10
15238,Duitama,Lechuga,2020,16
15238,Duitama,Lechuga,2020,16
15238,Duitama,Repollo,2020,10
15238,Duitama,Repollo,2020,10
15238,Duitama,Cebolla De Bulbo,2020,40
15238,Duitama,Cebolla De Bulbo,2020,40
15238,Duitama,Zanahoria,2020,2
15238,Duitama,Zanahoria,2020,2
15244,El Cocuy,Cebolla De Bulbo,2020,12
15244,El Cocuy,Cebolla De Bulbo,2020,10
15248,El Espino,Ahuyama,2020,3
15248,El Espino,Ahuyama,2020,3
15248,El Espino,Tomate,2020,10
15248,El Espino,Tomate,2020,10
15248,El Espino,Cebolla De Bulbo,2020,16
15248,El Espino,Cebolla De Bulbo,2020,10
15272,Firavitoba,Pimentón,2020,0
15272,Firavitoba,Tomate,2020,3
15272,Firavitoba,Cebolla De Bulbo,2020,30
15272,Firavitoba,Cebolla De Bulbo,2020,60
15296,Gámeza,Cebolla De Bulbo,2020,32
15296,Gámeza,Cebolla De Bulbo,2020,20
15299,Garagoa,Ahuyama,2020,5
15299,Garagoa,Ahuyama,2020,4
15299,Garagoa,Guatila,2020,3
15299,Garagoa,Pepino Guiso,2020,5
15299,Garagoa,Pepino Guiso,2020,2
15299,Garagoa,Tomate,2020,18
15299,Garagoa,Tomate,2020,4
15317,Guacamayas,Tomate Invernadero,2020,2
15317,Guacamayas,Tomate Invernadero,2020,2
15317,Guacamayas,Cebolla De Bulbo,2020,5
15317,Guacamayas,Cebolla De Bulbo,2020,6
15322,Guateque,Ahuyama,2020,4
15322,Guateque,Calabacín¬ Calabaza,2020,12
15322,Guateque,Calabacín¬ Calabaza,2020,12
15322,Guateque,Pimentón,2020,1
15322,Guateque,Tomate,2020,3
15322,Guateque,Tomate Invernadero,2020,1
15325,Guayatá,Calabacín¬ Calabaza,2020,24
15325,Guayatá,Calabacín¬ Calabaza,2020,17
15325,Guayatá,Pepino Guiso,2020,10
15325,Guayatá,Tomate Invernadero,2020,21
15325,Guayatá,Tomate Invernadero,2020,13
15332,Güicán,Ahuyama,2020,2
15332,Güicán,Ahuyama,2020,3
15332,Güicán,Cebolla De Bulbo,2020,6
15332,Güicán,Cebolla De Bulbo,2020,10
15362,Iza,Cebolla De Bulbo,2020,8
15362,Iza,Cebolla De Bulbo,2020,4
15367,Jenesano,Calabacín¬ Calabaza,2020,20
15367,Jenesano,Calabacín¬ Calabaza,2020,20
15367,Jenesano,Pepino Guiso,2020,6
15367,Jenesano,Pepino Guiso,2020,6
15367,Jenesano,Cilantro,2020,7
15367,Jenesano,Cilantro,2020,5
15367,Jenesano,Zanahoria,2020,6
15367,Jenesano,Zanahoria,2020,5
15368,Jericó,Tomate,2020,3
15368,Jericó,Tomate,2020,3
15368,Jericó,Cebolla De Bulbo,2020,40
15368,Jericó,Cebolla De Bulbo,2020,40
15380,La Capilla,Otras hortalizas,2020,1
15380,La Capilla,Pepino Cohombro,2020,20
15380,La Capilla,Pepino Guiso,2020,16
15380,La Capilla,Pimentón,2020,12
15380,La Capilla,Pimentón,2020,5
15380,La Capilla,Tomate,2020,13
15380,La Capilla,Tomate,2020,10
