geo,Año,Edad,Grupo,Tasa
15097,2020,(12 a 17),Mujer,460
15176,2020,(01 a 05),Mujer,48
15176,2020,Menores de un año,Mujer,0
15183,2020,(06 a 11),Mujer,0
15204,2020,(01 a 05),Mujer,0
15226,2020,(12 a 17),Mujer,0
15296,2020,(06 a 11),Mujer,0
15332,2020,(12 a 17),Mujer,0
15442,2020,(01 a 05),Mujer,0
15455,2020,Menores de un año,Mujer,2173
15507,2020,(12 a 17),Mujer,0
15516,2020,(12 a 17),Mujer,0
15518,2020,(12 a 17),Mujer,0
15542,2020,(01 a 05),Mujer,355
15572,2020,(01 a 05),Mujer,0
15572,2020,(12 a 17),Mujer,42
15599,2020,Menores de un año,Mujer,0
15681,2020,(12 a 17),Mujer,0
15693,2020,(01 a 05),Mujer,255
15696,2020,(12 a 17),Mujer,0
15759,2020,(06 a 11),Mujer,0
15806,2020,(01 a 05),Mujer,0
15806,2020,(12 a 17),Mujer,0
15001,2020,(12 a 17),Mujer,11
15047,2019,Menores de un año,Mujer,0
15238,2019,(01 a 05),Mujer,25
15238,2019,(06 a 11),Mujer,0
15322,2019,(12 a 17),Mujer,0
15362,2019,(12 a 17),Mujer,0
15367,2019,(01 a 05),Mujer,328
15500,2019,(06 a 11),Mujer,0
15500,2019,(12 a 17),Mujer,0
15572,2019,(12 a 17),Mujer,0
15676,2019,(12 a 17),Mujer,0
15681,2019,(06 a 11),Mujer,0
15759,2019,Menores de un año,Mujer,242
15820,2019,(12 a 17),Mujer,507
15238,2018,Menores de un año,Mujer,0
15466,2018,Menores de un año,Mujer,2380
15491,2018,Menores de un año,Mujer,775
15176,2018,(01 a 05),Mujer,72
15238,2018,(01 a 05),Mujer,0
15368,2018,(01 a 05),Mujer,666
15516,2018,(01 a 05),Mujer,78
15763,2018,(01 a 05),Mujer,0
15814,2018,(01 a 05),Mujer,225
15001,2018,(01 a 05),Mujer,0
15491,2018,(06 a 11),Mujer,116
15507,2018,(12 a 17),Mujer,153
15516,2018,(12 a 17),Mujer,0
15806,2018,(12 a 17),Mujer,130
15001,2017,(06 a 11),Mujer,0
15001,2017,(12 a 17),Mujer,9
15047,2017,(01 a 05),Mujer,132
15087,2017,(12 a 17),Mujer,0
15092,2017,(01 a 05),Mujer,0
15226,2017,Menores de un año,Mujer,0
15232,2017,(01 a 05),Mujer,0
15621,2017,(06 a 11),Mujer,0
15753,2017,(12 a 17),Mujer,0
15759,2017,(12 a 17),Mujer,0
15790,2017,(01 a 05),Mujer,0
15814,2017,(12 a 17),Mujer,0
15822,2017,Menores de un año,Mujer,2439
15861,2017,(01 a 05),Mujer,0
