geo,Municipio,Año,Trimestre,Índice
15720,SATIVANORTE,2022,3,0.614035
15090,BERBEO,2022,1,3.085299
15276,FLORESTA,2022,1,3.428909
15293,GACHANTIVA,2020,3,0.736067
15600,RAQUIRA,2022,1,9.806978
15879,VIRACACHA,2021,2,0.550206
15808,TINJACA,2022,1,4.151052
15114,BUSBANZA,2020,3,2.470187
15051,ARCABUCO,2021,1,5.553746
15500,OICATA,2021,3,1.281187
15757,SOCHA,2020,2,1.982136
15507,OTANCHE,2021,2,3.791697
15299,GARAGOA,2020,4,2.326959
15244,EL COCUY,2022,3,1.033532
15723,SATIVASUR,2020,2,1.329787
15759,SOGAMOSO,2022,3,23.232106
15162,CERINZA,2020,2,1.791359
15407,VILLA DE LEYVA,2020,4,9.717850
15798,TENZA,2020,4,2.391858
15407,VILLA DE LEYVA,2022,1,19.592640
15244,EL COCUY,2020,4,0.699627
15572,PUERTO BOYACA,2021,4,12.238830
15162,CERINZA,2022,2,7.818182
15296,GAMEZA,2021,1,0.954654
15224,CUCAITA,2021,2,0.644995
15047,AQUITANIA,2021,2,5.216301
15681,SAN PABLO DE BORBUR,2021,4,0.450844
15248,EL ESPINO,2021,1,0.573066
15092,BETEITIVA,2021,2,1.102757
15109,BUENAVISTA,2022,3,1.593191
15580,QUIPAMA,2021,3,0.509404
15232,CHIQUIZA,2021,1,0.288481
15299,GARAGOA,2022,1,6.536154
15248,EL ESPINO,2021,2,0.541229
15464,MONGUA,2021,2,1.082657
15368,JERICO,2022,1,1.179941
15476,MOTAVITA,2021,3,1.081359
15621,RONDON,2021,2,0.242718
15518,PAJARITO,2021,1,3.208773
15218,COVARACHIA,2021,4,2.242467
15778,SUTATENZA,2020,3,0.645459
15757,SOCHA,2021,2,3.873239
15832,TUNUNGUA,2021,3,0.377596
15051,ARCABUCO,2022,3,6.020392
15761,SOMONDOCO,2021,2,0.267290
15299,GARAGOA,2022,3,1.041996
15090,BERBEO,2021,4,4.924012
15759,SOGAMOSO,2022,4,22.902420
15442,MARIPI,2022,2,0.235373
15740,SIACHOQUE,2022,4,3.500567
15226,CUITIVA,2020,2,1.455526
15087,BELEN,2022,2,9.412065
15109,BUENAVISTA,2022,2,1.571366
15500,OICATA,2020,3,1.510989
