geo,Municipio,Horas,Año
15763,Sotaquirá,23.99,2024
15763,Sotaquirá,24,2025
15764,Soracá,8.4,2021
15764,Soracá,10.01,2022
15764,Soracá,0.5,2025
15774,Susacón,24,2020
15774,Susacón,18,2021
15774,Susacón,18,2022
15774,Susacón,19,2023
15774,Susacón,24,2024
15774,Susacón,20.28,2025
15776,Sutamarchàn,24,2020
15776,Sutamarchàn,10.49,2021
15776,Sutamarchàn,14.71,2022
15776,Sutamarchàn,24,2023
15776,Sutamarchàn,24,2024
15776,Sutamarchàn,24,2025
15778,Sutatenza,24,2020
15778,Sutatenza,22.2,2021
15778,Sutatenza,2.28,2022
15778,Sutatenza,0.2,2023
15778,Sutatenza,24,2024
15778,Sutatenza,21.62,2025
15790,Tasco,24,2020
15790,Tasco,24,2021
15790,Tasco,24,2022
15790,Tasco,24,2023
15790,Tasco,24,2024
15804,Tibana,24,2020
15804,Tibana,0.8,2022
15804,Tibana,24,2024
15806,Tibasosa,15.9,2020
15806,Tibasosa,18,2021
15806,Tibasosa,24,2022
15806,Tibasosa,24,2023
15806,Tibasosa,24,2024
15806,Tibasosa,24,2025
15808,Tinjacá,16.75,2025
15810,Tipacoque,24,2020
15810,Tipacoque,24,2021
15810,Tipacoque,24,2022
15810,Tipacoque,24,2023
15810,Tipacoque,24,2024
15810,Tipacoque,24,2025
15814,Toca,24,2021
15814,Toca,24,2023
15814,Toca,24,2024
15814,Toca,24,2025
15820,Tópaga,9.7,2020
15820,Tópaga,20.4,2021
15820,Tópaga,24,2022
15820,Tópaga,24,2023
15820,Tópaga,24,2024
15820,Tópaga,19.47,2025
15832,Tununguá,22.47,2020
15832,Tununguá,23.87,2021
15832,Tununguá,24,2022
15832,Tununguá,24,2023
15832,Tununguá,23.53,2024
15832,Tununguá,24,2025
15835,Turmequé,24,2020
15835,Turmequé,24,2021
15835,Turmequé,24,2022
15835,Turmequé,24,2023
15835,Turmequé,24,2024
15835,Turmequé,21.36,2025
15837,Tuta,24,2021
15837,Tuta,24,2022
15837,Tuta,24,2023
15837,Tuta,24,2024
15837,Tuta,6.58,2025
15842,Umbita,24,2020
15842,Umbita,0.8,2022
15842,Umbita,24,2024
15861,Ventaquemada,24,2020
15861,Ventaquemada,24,2021
15861,Ventaquemada,24,2022
15861,Ventaquemada,24,2023
15861,Ventaquemada,24,2024
15861,Ventaquemada,24,2025
15879,Viracachá,24,2020
15879,Viracachá,24,2021
15897,Zetaquirá,24,2020
15897,Zetaquirá,24,2021
15897,Zetaquirá,24,2022
15897,Zetaquirá,24,2023
15897,Zetaquirá,24,2024
15897,Zetaquirá,24,2025
