geo,Municipio,Desagregación,Año,Área Cosechada(ha)
15673,San Mateo,Café,2010,115
15135,Campohermoso,Café,2010,95
15842,Umbita,Café,2010,50
15425,Macanal,Café,2010,72
15507,Otanche,Café,2010,50
15621,Rondon,Café,2010,30
15172,Chinavita,Café,2010,30
15798,Tenza,Café,2010,57
15755,Socota,Café,2010,34
15401,La Victoria,Café,2010,30
15761,Somondoco,Café,2010,37
15518,Pajarito,Café,2010,32
15580,Quipama,Café,2010,25
15832,Tunungua,Café,2010,16
15774,Susacon,Café,2010,19
15778,Sutatenza,Café,2010,12
15696,Santa Sofia,Café,2010,9
15022,Almeida,Café,2010,7
15480,Muzo,Café,2010,10
15317,Guacamayas,Café,2010,4
15322,Guateque,Café,2010,7
15690,Santa Maria,Café,2010,8
15236,Chivor,Café,2010,1
15469,Moniquira,Café,2011,1.645
15897,Zetaquira,Café,2011,827
15455,Miraflores,Café,2011,742
15664,San Jose De Pare,Café,2011,570
15816,Togui,Café,2011,656
15185,Chitaraque,Café,2011,476
15090,Berbeo,Café,2011,430
15531,Pauna,Café,2011,369
15325,Guayata,Café,2011,380
15106,Briceño,Café,2011,390
15212,Coper,Café,2011,320
15377,Labranzagrande,Café,2011,50
15109,Buenavista,Café,2011,212
15442,Maripi,Café,2011,197
15533,Paya,Café,2011,140
15550,Pisba,Café,2011,140
15514,Paez,Café,2011,111
15660,San Eduardo,Café,2011,11
15842,Umbita,Café,2011,30
15681,San Pablo De Borbur,Café,2011,92
15135,Campohermoso,Café,2011,88
15425,Macanal,Café,2011,88
15507,Otanche,Café,2011,40
15673,San Mateo,Café,2011,90
15686,Santana,Café,2011,35
15511,Pachavita,Café,2011,50
15621,Rondon,Café,2011,21
15172,Chinavita,Café,2011,21
15798,Tenza,Café,2011,52
15299,Garagoa,Café,2011,30
15755,Socota,Café,2011,23
15761,Somondoco,Café,2011,25
15580,Quipama,Café,2011,23
15832,Tunungua,Café,2011,15
15778,Sutatenza,Café,2011,12
15696,Santa Sofia,Café,2011,6
15480,Muzo,Café,2011,10
15464,Mongua,Café,2011,0
15022,Almeida,Café,2011,6
15317,Guacamayas,Café,2011,4
15774,Susacon,Café,2011,6
15690,Santa Maria,Café,2011,6
15401,La Victoria,Café,2011,2
15236,Chivor,Café,2011,1
15469,Moniquira,Café,2012,324
15897,Zetaquira,Café,2012,813
15455,Miraflores,Café,2012,674
15816,Togui,Café,2012,680
15664,San Jose De Pare,Café,2012,404
15090,Berbeo,Café,2012,410
15531,Pauna,Café,2012,418
15109,Buenavista,Café,2012,382
15185,Chitaraque,Café,2012,80
15212,Coper,Café,2012,377
15325,Guayata,Café,2012,295
15514,Paez,Café,2012,199
15442,Maripi,Café,2012,208
15533,Paya,Café,2012,205
15550,Pisba,Café,2012,170
15106,Briceño,Café,2012,120
15681,San Pablo De Borbur,Café,2012,40
15660,San Eduardo,Café,2012,97
15135,Campohermoso,Café,2012,100
15842,Umbita,Café,2012,30
15507,Otanche,Café,2012,0
15425,Macanal,Café,2012,103
15480,Muzo,Café,2012,100
15686,Santana,Café,2012,0
15172,Chinavita,Café,2012,49
15580,Quipama,Café,2012,32
15299,Garagoa,Café,2012,5
15673,San Mateo,Café,2012,70
15621,Rondon,Café,2012,54
15511,Pachavita,Café,2012,60
15755,Socota,Café,2012,23
15377,Labranzagrande,Café,2012,20
15798,Tenza,Café,2012,38
15761,Somondoco,Café,2012,37
15518,Pajarito,Café,2012,0
15832,Tunungua,Café,2012,27
15022,Almeida,Café,2012,2
15778,Sutatenza,Café,2012,4
15236,Chivor,Café,2012,0
15464,Mongua,Café,2012,0
15401,La Victoria,Café,2012,2
15317,Guacamayas,Café,2012,10
15696,Santa Sofia,Café,2012,10
15322,Guateque,Café,2012,4
15667,San Luis De Gaceno,Café,2012,11
15690,Santa Maria,Café,2012,6
15774,Susacon,Café,2012,6
15218,Covarachia,Café,2012,0
15248,El Espino,Café,2012,1
15380,La Capilla,Café,2012,0
15469,Moniquira,Café,2013,1.554
15897,Zetaquira,Café,2013,843
