Municipio,geo,Atributo,Valor
Cuítiva,15226,Inadecuada eliminación de excretas,10.500000
Cuítiva,15226,Material inadecuado de pisos,8.400000
Cuítiva,15226,Material inadecuado de paredes exteriores,0.000000
Cuítiva,15226,Hacinamiento crítico,4.800000
Cuítiva,15226,Cluster,1.000000
Duitama,15238,Analfabetismo,4.800000
Duitama,15238,Bajo logro educativo,34.300000
Duitama,15238,Inasistencia escolar,1.500000
Duitama,15238,Rezago escolar,11.400000
Duitama,15238,Barreras a servicios para cuidado de la primera infancia,1.400000
Duitama,15238,Trabajo infantil,0.600000
Duitama,15238,Tasa de dependencia,27.900000
Duitama,15238,Trabajo informal,78.000000
Duitama,15238,Sin aseguramiento en salud,14.800000
Duitama,15238,Barreras de acceso a servicios de salud,3.700000
Duitama,15238,Sin acceso a fuente de agua mejorada,1.000000
Duitama,15238,Inadecuada eliminación de excretas,1.300000
Duitama,15238,Material inadecuado de pisos,0.500000
Duitama,15238,Material inadecuado de paredes exteriores,0.200000
Duitama,15238,Hacinamiento crítico,4.000000
Duitama,15238,Cluster,3.000000
El Cocuy,15244,Analfabetismo,13.100000
El Cocuy,15244,Bajo logro educativo,71.900000
El Cocuy,15244,Inasistencia escolar,5.100000
El Cocuy,15244,Rezago escolar,16.700000
El Cocuy,15244,Barreras a servicios para cuidado de la primera infancia,1.300000
El Cocuy,15244,Trabajo infantil,1.000000
El Cocuy,15244,Tasa de dependencia,60.200000
El Cocuy,15244,Trabajo informal,91.400000
El Cocuy,15244,Sin aseguramiento en salud,8.700000
El Cocuy,15244,Barreras de acceso a servicios de salud,3.800000
El Cocuy,15244,Sin acceso a fuente de agua mejorada,13.600000
El Cocuy,15244,Inadecuada eliminación de excretas,7.200000
El Cocuy,15244,Material inadecuado de pisos,37.000000
El Cocuy,15244,Material inadecuado de paredes exteriores,2.900000
El Cocuy,15244,Hacinamiento crítico,19.500000
El Cocuy,15244,Cluster,1.000000
El Espino,15248,Analfabetismo,10.000000
El Espino,15248,Bajo logro educativo,58.800000
El Espino,15248,Inasistencia escolar,1.900000
El Espino,15248,Rezago escolar,7.700000
El Espino,15248,Barreras a servicios para cuidado de la primera infancia,1.000000
El Espino,15248,Trabajo infantil,0.900000
El Espino,15248,Tasa de dependencia,52.600000
El Espino,15248,Trabajo informal,89.300000
El Espino,15248,Sin aseguramiento en salud,10.400000
El Espino,15248,Barreras de acceso a servicios de salud,4.400000
El Espino,15248,Sin acceso a fuente de agua mejorada,11.300000
El Espino,15248,Inadecuada eliminación de excretas,4.900000
El Espino,15248,Material inadecuado de pisos,22.700000
El Espino,15248,Material inadecuado de paredes exteriores,0.400000
El Espino,15248,Hacinamiento crítico,10.600000
El Espino,15248,Cluster,1.000000
Firavitoba,15272,Analfabetismo,11.300000
Firavitoba,15272,Bajo logro educativo,57.200000
Firavitoba,15272,Inasistencia escolar,1.400000
Firavitoba,15272,Rezago escolar,12.400000
Firavitoba,15272,Barreras a servicios para cuidado de la primera infancia,0.900000
Firavitoba,15272,Trabajo infantil,0.600000
Firavitoba,15272,Tasa de dependencia,38.400000
Firavitoba,15272,Trabajo informal,82.100000
Firavitoba,15272,Sin aseguramiento en salud,9.700000
Firavitoba,15272,Barreras de acceso a servicios de salud,6.700000
Firavitoba,15272,Sin acceso a fuente de agua mejorada,7.300000
Firavitoba,15272,Inadecuada eliminación de excretas,11.800000
