geo,Municipio,Casos,Año
15740,Siachoque,25,2021
15740,Siachoque,24,2022
15740,Siachoque,36,2023
15740,Siachoque,34,2024
15740,Siachoque,44,2025
15753,Soatá,39,2020
15753,Soatá,57,2021
15753,Soatá,62,2022
15753,Soatá,58,2023
15753,Soatá,77,2024
15753,Soatá,62,2025
15755,Socotá,26,2020
15755,Socotá,26,2021
15755,Socotá,20,2022
15755,Socotá,29,2023
15755,Socotá,26,2024
15755,Socotá,46,2025
15757,Socha,18,2020
15757,Socha,27,2021
15757,Socha,28,2022
15757,Socha,46,2023
15757,Socha,43,2024
15757,Socha,71,2025
15759,Sogamoso,507,2020
15759,Sogamoso,477,2021
15759,Sogamoso,703,2022
15759,Sogamoso,769,2023
15759,Sogamoso,846,2024
15759,Sogamoso,890,2025
15761,Somondoco,18,2020
15761,Somondoco,20,2021
15761,Somondoco,16,2022
15761,Somondoco,23,2023
15761,Somondoco,22,2024
15761,Somondoco,16,2025
15762,Sora,14,2020
15762,Sora,6,2021
15762,Sora,12,2022
15762,Sora,9,2023
15762,Sora,16,2024
15762,Sora,15,2025
15763,Sotaquirá,28,2020
15763,Sotaquirá,21,2021
15763,Sotaquirá,38,2022
15763,Sotaquirá,49,2023
15763,Sotaquirá,36,2024
15763,Sotaquirá,39,2025
15764,Soracá,46,2020
15764,Soracá,32,2021
15764,Soracá,38,2022
15764,Soracá,37,2023
15764,Soracá,44,2024
15764,Soracá,75,2025
15774,Susacón,10,2020
15774,Susacón,13,2021
15774,Susacón,9,2022
15774,Susacón,13,2023
15774,Susacón,13,2024
15774,Susacón,14,2025
15776,Sutamarchàn,23,2020
15776,Sutamarchàn,27,2021
15776,Sutamarchàn,42,2022
15776,Sutamarchàn,40,2023
15776,Sutamarchàn,42,2024
15776,Sutamarchàn,54,2025
15778,Sutatenza,17,2020
15778,Sutatenza,18,2021
15778,Sutatenza,24,2022
15778,Sutatenza,33,2023
15778,Sutatenza,20,2024
15778,Sutatenza,23,2025
15790,Tasco,34,2020
15790,Tasco,26,2021
15790,Tasco,31,2022
15790,Tasco,36,2023
15790,Tasco,23,2024
15790,Tasco,23,2025
15798,Tenza,14,2020
15798,Tenza,8,2021
15798,Tenza,15,2022
15798,Tenza,22,2023
15798,Tenza,24,2024
15798,Tenza,23,2025
15804,Tibana,38,2020
15804,Tibana,31,2021
15804,Tibana,44,2022
15804,Tibana,61,2023
15804,Tibana,53,2024
15804,Tibana,48,2025
15806,Tibasosa,42,2020
15806,Tibasosa,42,2021
15806,Tibasosa,43,2022
15806,Tibasosa,64,2023
15806,Tibasosa,59,2024
15806,Tibasosa,44,2025
15808,Tinjacá,25,2020
15808,Tinjacá,22,2021
15808,Tinjacá,31,2022
15808,Tinjacá,23,2023
15808,Tinjacá,35,2024
15808,Tinjacá,18,2025
15810,Tipacoque,19,2020
15810,Tipacoque,16,2021
15810,Tipacoque,9,2022
15810,Tipacoque,11,2023
15810,Tipacoque,13,2024
15810,Tipacoque,20,2025
15814,Toca,33,2020
15814,Toca,43,2021
15814,Toca,85,2022
15814,Toca,70,2023
15814,Toca,67,2024
15814,Toca,75,2025
15816,Togüí,11,2020
15816,Togüí,21,2021
15816,Togüí,30,2022
15816,Togüí,32,2023
15816,Togüí,22,2024
15816,Togüí,26,2025
15820,Tópaga,15,2020
15820,Tópaga,16,2021
15820,Tópaga,14,2022
15820,Tópaga,26,2023
15820,Tópaga,26,2024
15820,Tópaga,29,2025
15822,Tota,29,2020
15822,Tota,18,2021
15822,Tota,26,2022
15822,Tota,27,2023
15822,Tota,27,2024
15822,Tota,32,2025
15832,Tununguá,4,2020
15832,Tununguá,7,2021
15832,Tununguá,6,2022
15832,Tununguá,12,2023
15832,Tununguá,11,2024
15832,Tununguá,7,2025
15835,Turmequé,14,2020
15835,Turmequé,3,2021
15835,Turmequé,10,2022
15835,Turmequé,34,2023
15835,Turmequé,32,2024
15835,Turmequé,40,2025
15837,Tuta,48,2020
15837,Tuta,56,2021
15837,Tuta,41,2022
15837,Tuta,61,2023
15837,Tuta,55,2024
15837,Tuta,66,2025
15839,Tutazá,3,2020
15839,Tutazá,13,2021
15839,Tutazá,4,2022
15839,Tutazá,10,2023
15839,Tutazá,3,2024
15839,Tutazá,8,2025
15842,Umbita,19,2020
15842,Umbita,5,2021
15842,Umbita,31,2022
15842,Umbita,28,2023
15842,Umbita,28,2024
15842,Umbita,41,2025
15861,Ventaquemada,34,2020
15861,Ventaquemada,48,2021
15861,Ventaquemada,56,2022
15861,Ventaquemada,73,2023
15861,Ventaquemada,87,2024
15861,Ventaquemada,116,2025
15879,Viracachá,11,2020
15879,Viracachá,13,2021
15879,Viracachá,6,2022
15879,Viracachá,11,2023
15879,Viracachá,15,2024
15879,Viracachá,14,2025
15897,Zetaquirá,20,2020
15897,Zetaquirá,17,2021
15897,Zetaquirá,14,2022
15897,Zetaquirá,26,2023
15897,Zetaquirá,23,2024
15897,Zetaquirá,28,2025
