geo,Area,Periodo,Valor
15296,Moniquirá,2014,0.873000
15296,Mongua,2016,0.873000
15296,Nuevo Colón,2017,0.873000
15296,Socha,2013,0.874200
15296,Socha,2013,0.874200
15296,Panqueba,2012,0.875000
15296,Panqueba,2012,0.875000
15296,Berbeo,2014,0.875000
15296,San Eduardo,2014,0.875000
15296,Berbeo,2014,0.875000
15296,San Eduardo,2014,0.875000
15296,Panqueba,2015,0.875000
15296,San Miguel De Sema,2015,0.875000
15296,Tipacoque,2015,0.875000
15296,Duitama,2017,0.875000
15296,Buenavista,2012,0.876900
15296,Buenavista,2012,0.877000
15296,Paipa,2016,0.878000
15296,Aquitania,2012,0.878700
15296,Aquitania,2012,0.879000
15296,Buenavista,2014,0.879000
15296,Buenavista,2014,0.879300
15296,Boyacá,2013,0.880000
15296,Boyacá,2013,0.880000
15296,Quípama,2016,0.881000
15296,Tota,2014,0.881600
15296,Tota,2014,0.882000
15296,Sutamarchán,2015,0.882000
15296,Chita,2014,0.883000
15296,Chita,2014,0.883400
15296,Santana,2012,0.884000
15296,Samacá,2014,0.884000
15296,Samacá,2014,0.884000
15296,Santana,2012,0.884200
15296,Chinavita,2015,0.885000
15296,Tutaza,2013,0.885700
15296,Tutaza,2013,0.885700
15296,San Miguel De Sema,2014,0.886000
15296,Campohermoso,2016,0.886000
15296,Siachoque,2016,0.886000
15296,San Miguel De Sema,2014,0.886400
15296,San José De Pare,2012,0.886800
15296,Motavita,2012,0.887000
15296,San José De Pare,2012,0.887000
15296,Motavita,2012,0.887400
15296,Guateque,2012,0.888000
15296,Guateque,2012,0.888200
15296,El Espino,2015,0.889000
15296,Belén,2013,0.889800
15296,Belén,2013,0.889800
15296,Samacá,2017,0.891000
15296,Chitaraque,2013,0.891300
15296,Duitama,2012,0.892000
15296,Paz De Río,2016,0.892000
15296,Pauna,2017,0.892000
15296,Duitama,2012,0.892100
15296,Duitama,2014,0.892500
15296,Chiquinquirá,2014,0.893000
15296,Duitama,2014,0.893000
15296,Chiquinquirá,2014,0.893200
15296,Corrales,2013,0.893600
15296,Corrales,2013,0.893600
