geo,Municipio,Año,Rango edad,Cantidad
15533,Paya,2019,Entre 1 y 2 años,1711
15537,Paz de Río,2019,Entre 1 y 2 años,541
15542,Pesca,2019,Entre 1 y 2 años,2356
15550,Pisba,2019,Entre 1 y 2 años,877
15572,Puerto Boyacá,2019,Entre 1 y 2 años,45057
15580,Quípama,2019,Entre 1 y 2 años,1938
15599,Ramiriquí,2019,Entre 1 y 2 años,1534
15600,Ráquira,2019,Entre 1 y 2 años,1132
15621,Rondón,2019,Entre 1 y 2 años,892
15632,Saboyá,2019,Entre 1 y 2 años,5081
15638,Sáchica,2019,Entre 1 y 2 años,237
15646,Samacá,2019,Entre 1 y 2 años,1571
15660,San Eduardo,2019,Entre 1 y 2 años,1294
15664,San José de Pare,2019,Entre 1 y 2 años,614
15667,San Luis de Gaceno,2019,Entre 1 y 2 años,8534
15673,San Mateo,2019,Entre 1 y 2 años,1800
15676,San Miguel de Sema,2019,Entre 1 y 2 años,2915
15681,San Pablo de Borbur,2019,Entre 1 y 2 años,2056
15686,Santana,2019,Entre 1 y 2 años,349
15690,Santa María,2019,Entre 1 y 2 años,2934
15693,Santa Rosa de Viterbo,2019,Entre 1 y 2 años,1885
15696,Santa Sofía,2019,Entre 1 y 2 años,1315
15720,Sativanorte,2019,Entre 1 y 2 años,944
15723,Sativasur,2019,Entre 1 y 2 años,468
15740,Siachoque,2019,Entre 1 y 2 años,1624
15753,Soatá,2019,Entre 1 y 2 años,898
15755,Socotá,2019,Entre 1 y 2 años,2105
15757,Socha,2019,Entre 1 y 2 años,1025
15759,Sogamoso,2019,Entre 1 y 2 años,3393
15761,Somondoco,2019,Entre 1 y 2 años,847
15762,Sora,2019,Entre 1 y 2 años,400
15763,Sotaquirá,2019,Entre 1 y 2 años,3483
15764,Soracá,2019,Entre 1 y 2 años,1465
15774,Susacón,2019,Entre 1 y 2 años,1486
15776,Sutamarchán,2019,Entre 1 y 2 años,1228
15778,Sutatenza,2019,Entre 1 y 2 años,827
15790,Tasco,2019,Entre 1 y 2 años,1819
15798,Tenza,2019,Entre 1 y 2 años,1161
15804,Tibaná,2019,Entre 1 y 2 años,1796
15806,Tibasosa,2019,Entre 1 y 2 años,1253
15808,Tinjacá,2019,Entre 1 y 2 años,896
15810,Tipacoque,2019,Entre 1 y 2 años,664
15814,Toca,2019,Entre 1 y 2 años,2529
