geo,Municipio,Grupo cultivo,Desagregación cultivo,Año,Área cosechada
15842,Úmbita,Cereales,Quinua,2019,0.200000
15861,Ventaquemada,Cereales,Maíz Tradicional,2019,13.000000
15861,Ventaquemada,Cereales,Maíz Tradicional,2019,10.000000
15879,Viracachá,Cereales,Maíz Tradicional,2019,21.600000
15879,Viracachá,Cereales,Maíz Tradicional,2019,15.200000
15001,Tunja,Cereales,Avena,2020,160.000000
15001,Tunja,Cereales,Avena,2020,100.000000
15001,Tunja,Cereales,Cebada,2020,15.000000
15001,Tunja,Cereales,Cebada,2020,12.000000
15001,Tunja,Cereales,Maíz Tradicional,2020,152.000000
15022,Almeida,Cereales,Maíz Tradicional,2020,57.000000
15051,Arcabuco,Cereales,Maíz Tradicional,2020,8.000000
15051,Arcabuco,Cereales,Maíz Tradicional,2020,6.000000
15087,Belén,Cereales,Avena,2020,17.000000
15087,Belén,Cereales,Avena,2020,20.000000
15087,Belén,Cereales,Maíz Tradicional,2020,13.000000
15090,Berbeo,Cereales,Maíz Tradicional,2020,15.000000
15090,Berbeo,Cereales,Maíz Tradicional,2020,18.000000
15092,Betéitiva,Cereales,Cebada,2020,4.000000
15092,Betéitiva,Cereales,Maíz Tradicional,2020,13.000000
15092,Betéitiva,Cereales,Trigo,2020,7.000000
15097,Boavita,Cereales,Maíz Tradicional,2020,280.000000
15097,Boavita,Cereales,Maíz Tradicional,2020,160.000000
15097,Boavita,Cereales,Trigo,2020,15.000000
15097,Boavita,Cereales,Trigo,2020,30.000000
15104,Boyacá,Cereales,Maíz Tradicional,2020,8.000000
15104,Boyacá,Cereales,Maíz Tradicional,2020,11.000000
15106,Briceño,Cereales,Maíz Tradicional,2020,20.000000
15106,Briceño,Cereales,Maíz Tradicional,2020,10.000000
15114,Busbanzá,Cereales,Cebada,2020,0.800000
15114,Busbanzá,Cereales,Maíz Tradicional,2020,30.000000
15114,Busbanzá,Cereales,Trigo,2020,2.000000
15131,Caldas,Cereales,Maíz Tradicional,2020,80.000000
15131,Caldas,Cereales,Maíz Tradicional,2020,100.000000
15131,Caldas,Cereales,Trigo,2020,18.000000
15135,Campohermoso,Cereales,Maíz Tradicional,2020,40.000000
15135,Campohermoso,Cereales,Maíz Tradicional,2020,37.000000
15172,Chinavita,Cereales,Maíz Tradicional,2020,8.000000
15172,Chinavita,Cereales,Maíz Tradicional,2020,3.000000
15176,Chiquinquirá,Cereales,Maíz Tradicional,2020,90.000000
15180,Chiscas,Cereales,Maíz Tradicional,2020,60.000000
15180,Chiscas,Cereales,Maíz Tradicional,2020,35.000000
15180,Chiscas,Cereales,Trigo,2020,20.000000
15183,Chita,Cereales,Maíz Tradicional,2020,25.000000
15183,Chita,Cereales,Maíz Tradicional,2020,60.000000
15183,Chita,Cereales,Trigo,2020,7.000000
15183,Chita,Cereales,Trigo,2020,7.000000
