geo,Municipio,Desagregación cultivo,Año,Rendimiento
15104,Boyacá,Zanahoria,2020,30
15109,Buenavista,Tomate Invernadero,2020,70
15109,Buenavista,Tomate Invernadero,2020,70
15114,Busbanzá,Otras hortalizas,2020,1
15114,Busbanzá,Otras hortalizas,2020,1
15114,Busbanzá,Ahuyama,2020,4
15131,Caldas,Zanahoria,2020,20
15131,Caldas,Zanahoria,2020,20
15162,Cerinza,Otras hortalizas,2020,4
15162,Cerinza,Otras hortalizas,2020,5
15162,Cerinza,Cebolla De Bulbo,2020,32
15162,Cerinza,Zanahoria,2020,4
15162,Cerinza,Zanahoria,2020,16
15172,Chinavita,Pepino Guiso,2020,11
15172,Chinavita,Pepino Guiso,2020,10
15172,Chinavita,Pimentón,2020,7
15172,Chinavita,Pimentón,2020,8
15180,Chiscas,Cebolla De Bulbo,2020,20
15180,Chiscas,Cebolla De Bulbo,2020,20
15183,Chita,Cebolla De Bulbo,2020,20
15183,Chita,Cebolla De Bulbo,2020,20
15187,Chivatá,Otras hortalizas,2020,1
15187,Chivatá,Otras hortalizas,2020,0
15187,Chivatá,Cebolla De Bulbo,2020,15
15187,Chivatá,Cebolla De Bulbo,2020,15
15189,Ciénega,Tomate,2020,12
15189,Ciénega,Tomate,2020,12
15204,Cómbita,Otras hortalizas,2020,1
15204,Cómbita,Otras hortalizas,2020,12
15215,Corrales,Otras hortalizas,2020,5
15215,Corrales,Otras hortalizas,2020,5
15215,Corrales,Tomate,2020,45
15215,Corrales,Tomate,2020,45
15215,Corrales,Cebolla De Bulbo,2020,24
15215,Corrales,Cebolla De Bulbo,2020,24
15218,Covarachía,Melón,2020,50
15218,Covarachía,Melón,2020,50
15218,Covarachía,Pimentón,2020,4
15218,Covarachía,Tomate,2020,28
15218,Covarachía,Tomate Invernadero,2020,47
15224,Cucaita,Lechuga,2020,4
15224,Cucaita,Lechuga,2020,7
15224,Cucaita,Cebolla De Bulbo,2020,35
15224,Cucaita,Cebolla De Bulbo,2020,35
15224,Cucaita,Remolacha,2020,11
15224,Cucaita,Remolacha,2020,18
15224,Cucaita,Zanahoria,2020,28
15224,Cucaita,Zanahoria,2020,17
15226,Cuítiva,Cebolla De Bulbo,2020,30
15226,Cuítiva,Cebolla De Bulbo,2020,30
15226,Cuítiva,Cebolla De Rama,2020,15
15226,Cuítiva,Cebolla De Rama,2020,15
15232,Chíquiza,Cebolla De Bulbo,2020,25
15232,Chíquiza,Cebolla De Bulbo,2020,25
15232,Chíquiza,Zanahoria,2020,15
15232,Chíquiza,Zanahoria,2020,15
15236,Chivor,Otras hortalizas,2020,2
15236,Chivor,Otras hortalizas,2020,1
15238,Duitama,Brócoli,2020,25
15238,Duitama,Brócoli,2020,26
15238,Duitama,Tomate Invernadero,2020,127
15238,Duitama,Tomate Invernadero,2020,127
15238,Duitama,Cilantro,2020,33
15238,Duitama,Cilantro,2020,33
15238,Duitama,Espinaca,2020,18
15238,Duitama,Espinaca,2020,18
15238,Duitama,Lechuga,2020,43
15238,Duitama,Lechuga,2020,47
15238,Duitama,Repollo,2020,55
15238,Duitama,Repollo,2020,56
15238,Duitama,Cebolla De Bulbo,2020,24
15238,Duitama,Cebolla De Bulbo,2020,25
15238,Duitama,Zanahoria,2020,25
15238,Duitama,Zanahoria,2020,25
15244,El Cocuy,Cebolla De Bulbo,2020,12
15244,El Cocuy,Cebolla De Bulbo,2020,12
15248,El Espino,Ahuyama,2020,3
15248,El Espino,Ahuyama,2020,3
15248,El Espino,Tomate,2020,10
15248,El Espino,Tomate,2020,30
15248,El Espino,Cebolla De Bulbo,2020,8
15248,El Espino,Cebolla De Bulbo,2020,13
15272,Firavitoba,Pimentón,2020,10
15272,Firavitoba,Tomate,2020,80
15272,Firavitoba,Cebolla De Bulbo,2020,21
15272,Firavitoba,Cebolla De Bulbo,2020,27
15296,Gámeza,Cebolla De Bulbo,2020,6
15296,Gámeza,Cebolla De Bulbo,2020,6
15299,Garagoa,Ahuyama,2020,5
15299,Garagoa,Ahuyama,2020,5
15299,Garagoa,Guatila,2020,0
15299,Garagoa,Pepino Guiso,2020,4
15299,Garagoa,Pepino Guiso,2020,4
15299,Garagoa,Tomate,2020,2
15299,Garagoa,Tomate,2020,15
15317,Guacamayas,Tomate Invernadero,2020,110
15317,Guacamayas,Tomate Invernadero,2020,120
15317,Guacamayas,Cebolla De Bulbo,2020,11
15317,Guacamayas,Cebolla De Bulbo,2020,8
15322,Guateque,Ahuyama,2020,9
15322,Guateque,Calabacín¬ Calabaza,2020,30
15322,Guateque,Calabacín¬ Calabaza,2020,30
15322,Guateque,Pimentón,2020,8
15322,Guateque,Tomate,2020,35
15322,Guateque,Tomate Invernadero,2020,110
15325,Guayatá,Calabacín¬ Calabaza,2020,50
15325,Guayatá,Calabacín¬ Calabaza,2020,50
15325,Guayatá,Pepino Guiso,2020,7
15325,Guayatá,Tomate Invernadero,2020,53
15325,Guayatá,Tomate Invernadero,2020,53
15332,Güicán,Ahuyama,2020,12
15332,Güicán,Ahuyama,2020,14
