geo,Municipio,Año,Nivel,Tasa
15296,Gameza,2015,Secundaria,0.080900
15299,Garagoa,2015,Secundaria,0.010800
15317,Guacamayas,2015,Secundaria,0.017900
15322,Guateque,2015,Secundaria,0.001500
15325,Guayatá,2015,Secundaria,0.000000
15332,Güicán,2015,Secundaria,0.000000
15362,Iza,2015,Secundaria,0.076900
15367,Jenesano,2015,Secundaria,0.001900
15368,Jericó,2015,Secundaria,0.000000
15377,Labranzagrande,2015,Secundaria,0.000000
15380,La Capilla,2015,Secundaria,0.061800
15401,La Victoria,2015,Secundaria,0.021700
15403,La Uvita,2015,Secundaria,0.000000
15407,Villa de Leyva,2015,Secundaria,0.009000
15425,Macanal,2015,Secundaria,0.080200
15442,Maripí,2015,Secundaria,0.022700
15455,Miraflores,2015,Secundaria,0.003700
15464,Mongua,2015,Secundaria,0.007100
15466,Monguí,2015,Secundaria,0.013800
15469,Moniquirá,2015,Secundaria,0.011900
15476,Motavita,2015,Secundaria,0.000000
15480,Muzo,2015,Secundaria,0.001400
15491,Nobsa,2015,Secundaria,0.013600
15494,Nuevo Colón,2015,Secundaria,0.002900
15500,Oicatá,2015,Secundaria,0.006000
15507,Otanche,2015,Secundaria,0.021700
15511,Pachavita,2015,Secundaria,0.060200
15514,Páez,2015,Secundaria,0.000000
15516,Paipa,2015,Secundaria,0.008800
15518,Pajarito,2015,Secundaria,0.047100
15522,Panqueba,2015,Secundaria,0.018800
15531,Pauna,2015,Secundaria,0.000000
15533,Paya,2015,Secundaria,0.024300
15537,Paz de Río,2015,Secundaria,0.000000
15542,Pesca,2015,Secundaria,0.011000
15550,Pisba,2015,Secundaria,0.000000
15572,Puerto Boyacá,2015,Secundaria,0.022000
15580,Quípama,2015,Secundaria,0.029100
15599,Ramiriquí,2015,Secundaria,0.007400
15600,Ráquira,2015,Secundaria,0.008200
15621,Rondón,2015,Secundaria,0.049700
15632,Saboyá,2015,Secundaria,0.008500
15638,Sáchica,2015,Secundaria,0.000000
15646,Samacá,2015,Secundaria,0.030700
15660,San Eduardo,2015,Secundaria,0.040300
15664,San José de Pare,2015,Secundaria,0.003500
15667,San Luis de Gaceno,2015,Secundaria,0.017100
15673,San Mateo,2015,Secundaria,0.007300
15676,San Miguel de Sema,2015,Secundaria,0.011600
15681,San Pablo de Borbur,2015,Secundaria,0.000000
15686,Santana,2015,Secundaria,0.078500
15690,Santa María,2015,Secundaria,0.039700
15693,Santa Rosa de Viterbo,2015,Secundaria,0.000000
15696,Santa Sofía,2015,Secundaria,0.039200
15720,Sativanorte,2015,Secundaria,0.000000
15723,Sativasur,2015,Secundaria,0.000000
15740,Siachoque,2015,Secundaria,0.010000
15753,Soatá,2015,Secundaria,0.000000
15755,Socotá,2015,Secundaria,0.000000
15757,Socha,2015,Secundaria,0.003400
15759,Sogamoso,2015,Secundaria,0.064500
15761,Somondoco,2015,Secundaria,0.000000
15762,Sora,2015,Secundaria,0.013600
15763,Sotaquirá,2015,Secundaria,0.011200
15764,Soracá,2015,Secundaria,0.000000
15774,Susacón,2015,Secundaria,0.000000
15776,Sutamarchán,2015,Secundaria,0.000000
15778,Sutatenza,2015,Secundaria,0.000000
15790,Tasco,2015,Secundaria,0.004700
15798,Tenza,2015,Secundaria,0.027400
15804,Tibaná,2015,Secundaria,0.025400
15806,Tibasosa,2015,Secundaria,0.007500
15808,Tinjacá,2015,Secundaria,0.000000
15810,Tipacoque,2015,Secundaria,0.004000
15814,Toca,2015,Secundaria,0.047500
15816,Togüí,2015,Secundaria,0.000000
15820,Tópaga,2015,Secundaria,0.003500
15822,Tota,2015,Secundaria,0.013900
15832,Tununguá,2015,Secundaria,0.000000
15835,Turmequé,2015,Secundaria,0.001600
15837,Tuta,2015,Secundaria,0.016400
15839,Tutazá,2015,Secundaria,0.000000
15842,Umbita,2015,Secundaria,0.003600
15861,Ventaquemada,2015,Secundaria,0.000000
15879,Viracachá,2015,Secundaria,0.000000
15897,Zetaquira,2015,Secundaria,0.005300
15001,Tunja,2015,Edu_Media,0.036100
15022,Almeida,2015,Edu_Media,0.000000
15047,Aquitania,2015,Edu_Media,0.040000
15051,Arcabuco,2015,Edu_Media,0.000000
15087,Belén,2015,Edu_Media,0.000000
15090,Berbeo,2015,Edu_Media,0.000000
15092,Betéitiva,2015,Edu_Media,0.000000
15097,Boavita,2015,Edu_Media,0.000000
