geo,Año,Ciclo,Áreas cosechadas
15092,2019,Permanente,2.000000
15092,2019,Permanente,2.000000
15092,2019,Transitorio,2.000000
15092,2019,Transitorio,14.000000
15092,2019,Transitorio,10.000000
15092,2019,Transitorio,5.000000
15092,2019,Transitorio,36.000000
15092,2019,Transitorio,7.000000
15092,2019,Transitorio,5.000000
15092,2019,Transitorio,4.000000
15092,2019,Transitorio,22.000000
15092,2019,Transitorio,5.000000
15097,2019,Permanente,8.000000
15097,2019,Permanente,13.000000
15097,2019,Permanente,30.000000
15097,2019,Permanente,85.000000
15097,2019,Transitorio,280.000000
15097,2019,Transitorio,10.000000
15097,2019,Transitorio,0.000000
15097,2019,Transitorio,14.000000
15097,2019,Transitorio,3.000000
15097,2019,Transitorio,140.000000
15097,2019,Transitorio,20.000000
15097,2019,Transitorio,0.000000
15097,2019,Transitorio,14.000000
15097,2019,Transitorio,3.000000
15097,2019,Transitorio,50.000000
15104,2019,Permanente,15.000000
15104,2019,Permanente,15.000000
15104,2019,Transitorio,11.000000
15104,2019,Transitorio,3.000000
15104,2019,Transitorio,3.000000
15104,2019,Transitorio,76.000000
15104,2019,Transitorio,124.000000
15104,2019,Transitorio,240.000000
15104,2019,Transitorio,11.000000
15104,2019,Transitorio,180.000000
15104,2019,Transitorio,140.000000
15106,2019,Permanente,17.000000
15106,2019,Permanente,0.000000
15106,2019,Permanente,45.000000
15106,2019,Permanente,180.000000
15106,2019,Permanente,9.000000
15106,2019,Permanente,30.000000
15106,2019,Permanente,43.000000
15106,2019,Permanente,1.000000
15106,2019,Permanente,20.000000
15106,2019,Transitorio,10.000000
15106,2019,Transitorio,5.000000
15106,2019,Transitorio,20.000000
15109,2019,Permanente,62.000000
15109,2019,Permanente,15.000000
15109,2019,Permanente,11.000000
15109,2019,Permanente,0.000000
15109,2019,Permanente,73.000000
15109,2019,Permanente,10.000000
15109,2019,Permanente,100.000000
15109,2019,Permanente,73.000000
15109,2019,Transitorio,7.000000
15109,2019,Transitorio,10.000000
15109,2019,Transitorio,12.000000
15109,2019,Transitorio,14.000000
15109,2019,Transitorio,5.000000
15109,2019,Transitorio,12.000000
15114,2019,Permanente,0.000000
15114,2019,Permanente,0.000000
15114,2019,Permanente,0.000000
15114,2019,Transitorio,1.000000
15114,2019,Transitorio,35.000000
15114,2019,Transitorio,3.000000
15114,2019,Transitorio,1.000000
15114,2019,Transitorio,2.500000
15114,2019,Transitorio,6.000000
15114,2019,Transitorio,2.500000
15131,2019,Permanente,20.000000
15131,2019,Permanente,6.000000
15131,2019,Permanente,5.000000
15131,2019,Permanente,20.000000
15131,2019,Permanente,12.000000
15131,2019,Transitorio,97.000000
15131,2019,Transitorio,21.000000
15131,2019,Transitorio,80.000000
15131,2019,Transitorio,80.000000
15131,2019,Transitorio,130.000000
15131,2019,Transitorio,100.000000
15131,2019,Transitorio,88.000000
15131,2019,Transitorio,84.000000
15131,2019,Transitorio,141.000000
15135,2019,Permanente,0.000000
15135,2019,Permanente,8.000000
15135,2019,Permanente,0.250000
15135,2019,Permanente,122.000000
15135,2019,Transitorio,40.000000
15135,2019,Transitorio,63.000000
15135,2019,Transitorio,75.000000
15135,2019,Transitorio,35.000000
15162,2019,Permanente,1.000000
15162,2019,Permanente,1.000000
15162,2019,Permanente,3.000000
15162,2019,Transitorio,2.000000
15162,2019,Transitorio,1.000000
15162,2019,Transitorio,12.000000
15162,2019,Transitorio,5.000000
15162,2019,Transitorio,0.400000
15162,2019,Transitorio,1.000000
15162,2019,Transitorio,28.000000
15172,2019,Permanente,28.000000
15172,2019,Permanente,8.000000
15172,2019,Permanente,2.000000
15172,2019,Permanente,20.000000
15172,2019,Permanente,3.500000
15172,2019,Transitorio,14.000000
15172,2019,Transitorio,3.000000
15172,2019,Transitorio,12.000000
15172,2019,Transitorio,2.000000
15172,2019,Transitorio,3.000000
15172,2019,Transitorio,2.000000
15172,2019,Transitorio,5.000000
15172,2019,Transitorio,4.000000
15172,2019,Transitorio,9.500000
15172,2019,Transitorio,1.000000
15172,2019,Transitorio,1.500000
15172,2019,Transitorio,1.000000
15176,2019,Permanente,8.000000
15176,2019,Permanente,5.000000
15176,2019,Permanente,6.000000
15176,2019,Permanente,17.000000
15176,2019,Permanente,30.000000
15176,2019,Permanente,35.000000
15176,2019,Transitorio,100.000000
15176,2019,Transitorio,200.000000
15176,2019,Transitorio,50.000000
15176,2019,Transitorio,310.000000
15176,2019,Transitorio,50.000000
15180,2019,Permanente,62.000000
15180,2019,Permanente,5.000000
15180,2019,Permanente,6.000000
15180,2019,Permanente,5.000000
15180,2019,Permanente,6.000000
15180,2019,Transitorio,70.000000
15180,2019,Transitorio,35.000000
15180,2019,Transitorio,100.000000
15180,2019,Transitorio,70.000000
15180,2019,Transitorio,35.000000
15180,2019,Transitorio,110.000000
15183,2019,Permanente,0.000000
15183,2019,Permanente,139.000000
15183,2019,Permanente,0.000000
15183,2019,Permanente,4.000000
15183,2019,Permanente,10.000000
15183,2019,Transitorio,28.000000
15183,2019,Transitorio,14.000000
15183,2019,Transitorio,20.000000
15183,2019,Transitorio,210.000000
15183,2019,Transitorio,60.000000
