geo,Municipio,Viviendas,Año
15761,Somondoco,170,2023
15761,Somondoco,136,2024
15762,Sora,0,2020
15762,Sora,0,2021
15762,Sora,0,2022
15762,Sora,321,2023
15762,Sora,295,2024
15763,Sotaquirá,348,2020
15763,Sotaquirá,0,2021
15763,Sotaquirá,0,2022
15763,Sotaquirá,223,2023
15763,Sotaquirá,140,2024
15764,Soracá,0,2020
15764,Soracá,0,2021
15764,Soracá,0,2022
15764,Soracá,0,2023
15764,Soracá,0,2024
15774,Susacón,570,2020
15774,Susacón,576,2021
15774,Susacón,585,2022
15774,Susacón,592,2023
15774,Susacón,584,2024
15776,Sutamarchàn,249,2020
15776,Sutamarchàn,179,2021
15776,Sutamarchàn,132,2022
15776,Sutamarchàn,94,2023
15776,Sutamarchàn,0,2024
15778,Sutatenza,474,2020
15778,Sutatenza,444,2021
15778,Sutatenza,422,2022
15778,Sutatenza,416,2023
15778,Sutatenza,406,2024
15790,Tasco,796,2020
15790,Tasco,787,2021
15790,Tasco,775,2022
15790,Tasco,792,2023
15790,Tasco,759,2024
15798,Tenza,983,2020
15798,Tenza,957,2021
15798,Tenza,964,2022
15798,Tenza,949,2023
15798,Tenza,934,2024
15804,Tibana,746,2020
15804,Tibana,692,2021
15804,Tibana,586,2022
15804,Tibana,549,2023
15804,Tibana,461,2024
15806,Tibasosa,0,2020
15806,Tibasosa,0,2021
15806,Tibasosa,0,2022
15806,Tibasosa,400,2023
15806,Tibasosa,338,2024
15808,Tinjacá,216,2020
15808,Tinjacá,160,2021
15808,Tinjacá,96,2022
15808,Tinjacá,54,2023
15808,Tinjacá,0,2024
15810,Tipacoque,163,2020
15810,Tipacoque,151,2021
15810,Tipacoque,160,2022
15810,Tipacoque,159,2023
15810,Tipacoque,56,2024
15814,Toca,152,2020
15814,Toca,75,2021
15814,Toca,36,2022
15814,Toca,15,2023
15814,Toca,0,2024
15816,Togüí,87,2020
15816,Togüí,61,2021
15816,Togüí,2,2022
15816,Togüí,2,2023
15816,Togüí,0,2024
15820,Tópaga,69,2020
15820,Tópaga,67,2021
15820,Tópaga,35,2022
15820,Tópaga,53,2023
15820,Tópaga,16,2024
15822,Tota,939,2020
15822,Tota,959,2021
15822,Tota,952,2022
15822,Tota,965,2023
15822,Tota,921,2024
15832,Tununguá,26,2020
15832,Tununguá,4,2021
15832,Tununguá,0,2022
15832,Tununguá,0,2023
15832,Tununguá,0,2024
15835,Turmequé,0,2020
15835,Turmequé,0,2021
15835,Turmequé,0,2022
15835,Turmequé,0,2023
15835,Turmequé,0,2024
15837,Tuta,0,2020
15837,Tuta,0,2021
15837,Tuta,0,2022
15837,Tuta,0,2023
15837,Tuta,0,2024
15839,Tutazá,239,2020
15839,Tutazá,216,2021
15839,Tutazá,218,2022
15839,Tutazá,230,2023
15839,Tutazá,185,2024
15842,Umbita,293,2020
15842,Umbita,263,2021
15842,Umbita,230,2022
15842,Umbita,354,2023
15842,Umbita,309,2024
15861,Ventaquemada,0,2020
15861,Ventaquemada,0,2021
15861,Ventaquemada,0,2022
15861,Ventaquemada,129,2023
15861,Ventaquemada,37,2024
15879,Viracachá,502,2020
15879,Viracachá,514,2021
15879,Viracachá,522,2022
15879,Viracachá,535,2023
15879,Viracachá,530,2024
15897,Zetaquirá,655,2020
15897,Zetaquirá,655,2021
15897,Zetaquirá,272,2022
15897,Zetaquirá,128,2023
15897,Zetaquirá,54,2024
