geo,Municipio,Cultivo,Año,Rendimiento
15176,Chiquinquirá,Haba,2020,0
15180,Chiscas,Arveja,2020,0
15180,Chiscas,Arveja,2020,1
15180,Chiscas,Frijol,2020,2
15180,Chiscas,Frijol,2020,2
15180,Chiscas,Haba,2020,1
15180,Chiscas,Haba,2020,2
15183,Chita,Arveja,2020,1
15183,Chita,Arveja,2020,0
15183,Chita,Frijol,2020,1
15183,Chita,Haba,2020,2
15185,Chitaraque,Frijol,2020,1
15185,Chitaraque,Frijol,2020,0
15187,Chivatá,Arveja,2020,0
15187,Chivatá,Arveja,2020,0
15187,Chivatá,Haba,2020,0
15189,Ciénega,Arveja,2020,1
15189,Ciénega,Arveja,2020,0
15189,Ciénega,Frijol,2020,2
15189,Ciénega,Frijol,2020,1
15204,Cómbita,Arveja,2020,1
15204,Cómbita,Arveja,2020,1
15204,Cómbita,Frijol,2020,1
15204,Cómbita,Frijol,2020,1
15204,Cómbita,Haba,2020,1
15204,Cómbita,Haba,2020,1
15212,Coper,Frijol,2020,1
15212,Coper,Frijol,2020,1
15215,Corrales,Arveja,2020,1
15215,Corrales,Frijol,2020,0
15215,Corrales,Frijol,2020,2
15218,Covarachía,Arveja,2020,0
15218,Covarachía,Arveja,2020,0
15218,Covarachía,Frijol,2020,0
15218,Covarachía,Frijol,2020,2
15224,Cucaita,Arveja,2020,2
15224,Cucaita,Arveja,2020,1
15224,Cucaita,Frijol,2020,1
15224,Cucaita,Frijol,2020,2
15226,Cuítiva,Arveja,2020,1
15226,Cuítiva,Arveja,2020,1
15232,Chíquiza,Arveja,2020,0
15232,Chíquiza,Arveja,2020,0
15232,Chíquiza,Frijol,2020,1
15232,Chíquiza,Frijol,2020,0
15236,Chivor,Arveja,2020,1
15236,Chivor,Arveja,2020,1
15236,Chivor,Frijol,2020,1
15236,Chivor,Frijol,2020,2
15238,Duitama,Arveja,2020,2
15238,Duitama,Arveja,2020,1
15244,El Cocuy,Frijol,2020,0
15244,El Cocuy,Haba,2020,0
15248,El Espino,Arveja,2020,1
15248,El Espino,Arveja,2020,2
15248,El Espino,Frijol,2020,1
15248,El Espino,Frijol,2020,1
15248,El Espino,Haba,2020,0
15248,El Espino,Haba,2020,1
15272,Firavitoba,Arveja,2020,0
15272,Firavitoba,Arveja,2020,0
15272,Firavitoba,Frijol,2020,0
15272,Firavitoba,Frijol,2020,0
15272,Firavitoba,Haba,2020,1
15276,Floresta,Arveja,2020,0
15276,Floresta,Frijol,2020,0
15293,Gachantivá,Arveja,2020,1
15293,Gachantivá,Arveja,2020,1
15296,Gámeza,Arveja,2020,2
15296,Gámeza,Arveja,2020,2
15296,Gámeza,Frijol,2020,3
15296,Gámeza,Haba,2020,2
15299,Garagoa,Arveja,2020,0
15299,Garagoa,Arveja,2020,0
15299,Garagoa,Frijol,2020,2
15299,Garagoa,Frijol,2020,1
15299,Garagoa,Habichuela,2020,7
15299,Garagoa,Habichuela,2020,7
15317,Guacamayas,Arveja,2020,1
15317,Guacamayas,Frijol,2020,1
15322,Guateque,Arveja,2020,2
15322,Guateque,Arveja,2020,1
15322,Guateque,Frijol,2020,1
15322,Guateque,Frijol,2020,2
15322,Guateque,Garbanzo,2020,1
15322,Guateque,Habichuela,2020,8
15325,Guayatá,Frijol,2020,2
15325,Guayatá,Habichuela,2020,9
15325,Guayatá,Habichuela,2020,13
15332,Güicán,Arveja,2020,0
15332,Güicán,Arveja,2020,0
15332,Güicán,Frijol,2020,1
15332,Güicán,Haba,2020,0
15362,Iza,Arveja,2020,0
15367,Jenesano,Arveja,2020,1
15367,Jenesano,Arveja,2020,1
15367,Jenesano,Frijol,2020,1
15367,Jenesano,Frijol,2020,1
15368,Jericó,Arveja,2020,0
15368,Jericó,Arveja,2020,0
15368,Jericó,Frijol,2020,1
15368,Jericó,Frijol,2020,1
15368,Jericó,Haba,2020,0
15377,Labranzagrande,Arveja,2020,2
15377,Labranzagrande,Arveja,2020,2
15377,Labranzagrande,Frijol,2020,0
15380,La Capilla,Arveja,2020,0
15380,La Capilla,Arveja,2020,0
15380,La Capilla,Frijol,2020,1
15380,La Capilla,Frijol,2020,0
15380,La Capilla,Habichuela,2020,12
15380,La Capilla,Habichuela,2020,12
15401,La Victoria,Frijol,2020,0
15401,La Victoria,Frijol,2020,0
15403,La Uvita,Arveja,2020,1
15403,La Uvita,Arveja,2020,1
15403,La Uvita,Frijol,2020,2
15403,La Uvita,Frijol,2020,2
15403,La Uvita,Haba,2020,2
15403,La Uvita,Haba,2020,1
15407,Villa de Leiva,Frijol,2020,0
15407,Villa de Leiva,Frijol,2020,0
15425,Macanal,Arveja,2020,0
15425,Macanal,Arveja,2020,0
15425,Macanal,Frijol,2020,1
15425,Macanal,Frijol,2020,1
15442,Maripí,Arveja,2020,0
15442,Maripí,Frijol,2020,0
15455,Miraflores,Arveja,2020,1
15455,Miraflores,Arveja,2020,1
15455,Miraflores,Frijol,2020,2
15455,Miraflores,Frijol,2020,2
15464,Mongua,Arveja,2020,0
15464,Mongua,Arveja,2020,0
15464,Mongua,Haba,2020,1
15466,Monguí,Arveja,2020,1
15466,Monguí,Arveja,2020,1
15466,Monguí,Frijol,2020,1
15466,Monguí,Haba,2020,2
15469,Moniquirá,Frijol,2020,1
15469,Moniquirá,Frijol,2020,1
15476,Motavita,Arveja,2020,1
15476,Motavita,Arveja,2020,1
15476,Motavita,Haba,2020,1
15480,Muzo,Frijol,2020,0
15480,Muzo,Frijol,2020,0
15480,Muzo,Maní,2020,0
15480,Muzo,Maní,2020,0
15491,Nobsa,Frijol,2020,2
15491,Nobsa,Frijol,2020,5
15491,Nobsa,Haba,2020,0
15491,Nobsa,Haba,2020,0
15494,Nuevo Colón,Arveja,2020,1
15494,Nuevo Colón,Frijol,2020,0
15494,Nuevo Colón,Haba,2020,0
15494,Nuevo Colón,Haba,2020,1
15500,Oicatá,Arveja,2020,0
15500,Oicatá,Arveja,2020,0
15507,Otanche,Frijol,2020,2
15507,Otanche,Frijol,2020,2
15511,Pachavita,Arveja,2020,1
15511,Pachavita,Arveja,2020,1
15511,Pachavita,Frijol,2020,1
15511,Pachavita,Frijol,2020,1
15514,Páez,Frijol,2020,1
15514,Páez,Frijol,2020,1
15516,Paipa,Arveja,2020,2
15516,Paipa,Arveja,2020,5
15516,Paipa,Frijol,2020,2
15516,Paipa,Frijol,2020,2
15518,Pajarito,Frijol,2020,0
15518,Pajarito,Guandul,2020,0
15522,Panqueba,Frijol,2020,2
15531,Pauna,Frijol,2020,0
15531,Pauna,Frijol,2020,0
15531,Pauna,Habichuela,2020,8
15531,Pauna,Habichuela,2020,8
15531,Pauna,Maní,2020,0
15531,Pauna,Maní,2020,0
15533,Paya,Arveja,2020,0
15533,Paya,Guandul,2020,0
15537,Paz de Río,Arveja,2020,1
15537,Paz de Río,Arveja,2020,1
15537,Paz de Río,Frijol,2020,1
15537,Paz de Río,Frijol,2020,1
15542,Pesca,Arveja,2020,1
15542,Pesca,Arveja,2020,1
15542,Pesca,Haba,2020,1
15542,Pesca,Haba,2020,1
15550,Pisba,Arveja,2020,1
15550,Pisba,Frijol,2020,0
15550,Pisba,Guandul,2020,0
15599,Ramiriquí,Arveja,2020,1
15599,Ramiriquí,Arveja,2020,2
15599,Ramiriquí,Frijol,2020,2
15599,Ramiriquí,Frijol,2020,2
15599,Ramiriquí,Haba,2020,1
15600,Ráquira,Arveja,2020,2
15600,Ráquira,Arveja,2020,0
15600,Ráquira,Haba,2020,1
15600,Ráquira,Haba,2020,0
15600,Ráquira,Habichuela,2020,5
15600,Ráquira,Habichuela,2020,5
15621,Rondón,Arveja,2020,1
15621,Rondón,Arveja,2020,0
15621,Rondón,Frijol,2020,1
15621,Rondón,Frijol,2020,1
15632,Saboyá,Arveja,2020,1
15632,Saboyá,Arveja,2020,1
15646,Samacá,Arveja,2020,2
15646,Samacá,Arveja,2020,1
15646,Samacá,Frijol,2020,1
15660,San Eduardo,Arveja,2020,0
15660,San Eduardo,Arveja,2020,0
15660,San Eduardo,Frijol,2020,1
15660,San Eduardo,Frijol,2020,1
15664,San José de Pare,Frijol,2020,1
15664,San José de Pare,Frijol,2020,1
15664,San José de Pare,Habichuela,2020,5
15664,San José de Pare,Habichuela,2020,5
15673,San Mateo,Arveja,2020,0
15673,San Mateo,Arveja,2020,0
15673,San Mateo,Frijol,2020,0
15673,San Mateo,Frijol,2020,0
15676,San Miguel de Sema,Arveja,2020,0
15676,San Miguel de Sema,Arveja,2020,0
15676,San Miguel de Sema,Frijol,2020,0
