geo,Año,Género,Número
15774,2021,Hombre,1.000000
15774,2021,Mujer,0.000000
15776,2020,Hombre,1.000000
15776,2020,Mujer,0.000000
15776,2021,Hombre,1.000000
15776,2021,Mujer,0.000000
15790,2020,Hombre,0.000000
15790,2020,Mujer,1.000000
15804,2019,Hombre,1.000000
15804,2019,Mujer,1.000000
15804,2020,Hombre,1.000000
15804,2020,Mujer,1.000000
15804,2021,Hombre,5.000000
15804,2021,Mujer,1.000000
15806,2021,Hombre,4.000000
15806,2021,Mujer,0.000000
15816,2020,Hombre,2.000000
15816,2020,Mujer,0.000000
15820,2021,Hombre,1.000000
15820,2021,Mujer,0.000000
15822,2019,Hombre,1.000000
15822,2019,Mujer,0.000000
15832,2021,Hombre,1.000000
15832,2021,Mujer,0.000000
15835,2020,Hombre,1.000000
15835,2020,Mujer,0.000000
15837,2021,Hombre,1.000000
15837,2021,Mujer,0.000000
15839,2019,Hombre,1.000000
15839,2019,Mujer,0.000000
15839,2021,Hombre,1.000000
15839,2021,Mujer,0.000000
15861,2019,Hombre,1.000000
15861,2019,Mujer,0.000000
15861,2020,Hombre,1.000000
15861,2020,Mujer,0.000000
15879,2020,Hombre,1.000000
15879,2020,Mujer,0.000000
15897,2021,Hombre,0.000000
15897,2021,Mujer,1.000000
