Año,geo,Sexo,Casos
2017,15806,Mujer,5
2017,15816,Mujer,1
2017,15835,Mujer,2
2017,15837,Mujer,1
2018,15001,Mujer,235
2018,15047,Mujer,2
2018,15051,Mujer,1
2018,15087,Mujer,4
2018,15131,Mujer,0
2018,15162,Mujer,1
2018,15172,Mujer,1
2018,15176,Mujer,76
2018,15187,Mujer,1
2018,15189,Mujer,0
2018,15204,Mujer,2
2018,15223,Mujer,2
2018,15224,Mujer,2
2018,15238,Mujer,85
2018,15299,Mujer,8
2018,15362,Mujer,1
2018,15403,Mujer,1
2018,15466,Mujer,2
2018,15469,Mujer,9
2018,15476,Mujer,2
2018,15480,Mujer,0
2018,15491,Mujer,10
2018,15500,Mujer,1
2018,15516,Mujer,11
2018,15518,Mujer,1
2018,15542,Mujer,7
2018,15572,Mujer,37
2018,15599,Mujer,0
2018,15600,Mujer,1
2018,15632,Mujer,2
2018,15646,Mujer,6
2018,15664,Mujer,2
2018,15681,Mujer,4
2018,15686,Mujer,7
2018,15693,Mujer,2
2018,15696,Mujer,1
2018,15740,Mujer,4
2018,15757,Mujer,5
2018,15759,Mujer,128
2018,15763,Mujer,2
2018,15764,Mujer,8
2018,15776,Mujer,1
2018,15804,Mujer,1
2018,15806,Mujer,4
2018,15808,Mujer,1
2018,15814,Mujer,1
2018,15822,Mujer,1
2018,15837,Mujer,0
2018,15839,Mujer,1
2018,15861,Mujer,2
2019,15047,Mujer,2
2019,15051,Mujer,2
2019,15087,Mujer,2
2019,15104,Mujer,1
2019,15131,Mujer,2
2019,15162,Mujer,1
2019,15176,Mujer,25
2019,15232,Mujer,2
2019,15185,Mujer,1
2019,15204,Mujer,0
2019,15223,Mujer,3
2019,15224,Mujer,1
2019,15238,Mujer,82
2019,15244,Mujer,1
2019,15272,Mujer,1
2019,15299,Mujer,16
2019,15362,Mujer,1
2019,15469,Mujer,6
2019,15476,Mujer,3
2019,15491,Mujer,3
2019,15494,Mujer,1
2019,15500,Mujer,3
2019,15516,Mujer,13
2019,15531,Mujer,1
2019,15542,Mujer,2
2019,15572,Mujer,18
2019,15599,Mujer,1
2019,15621,Mujer,0
2019,15632,Mujer,2
2019,15638,Mujer,1
2019,15646,Mujer,2
2019,15664,Mujer,1
2019,15667,Mujer,1
2019,15693,Mujer,2
2019,15686,Mujer,1
2019,15740,Mujer,1
2019,15757,Mujer,1
2019,15759,Mujer,134
2019,15762,Mujer,1
2019,15764,Mujer,6
