geo,Municipio,Cultivo,Año,Producción(tn)
15092,Betéitiva,Papa Criolla,2020,65
15092,Betéitiva,Papa Criolla,2020,39
15092,Betéitiva,Papa todas las variedades,2020,720
15092,Betéitiva,Papa todas las variedades,2020,270
15097,Boavita,Yuca consumo en fresco,2020,150
15097,Boavita,Yuca consumo en fresco,2020,100
15104,Boyacá,Arracacha,2020,2380
15104,Boyacá,Arracacha,2020,3000
15104,Boyacá,Papa todas las variedades,2020,4200
15104,Boyacá,Papa todas las variedades,2020,4800
15106,Briceño,Yuca consumo en fresco,2020,16
15106,Briceño,Yuca consumo en fresco,2020,32
15109,Buenavista,Papa todas las variedades,2020,420
15109,Buenavista,Papa todas las variedades,2020,378
15114,Busbanzá,Papa todas las variedades,2020,50
15131,Caldas,Papa Criolla,2020,1750
15131,Caldas,Papa Criolla,2020,1001
15131,Caldas,Papa todas las variedades,2020,859
15131,Caldas,Papa todas las variedades,2020,1300
15135,Campohermoso,Malanga¬ Achín¬ Yota¬ Papa China¬ Bore,2020,350
15135,Campohermoso,Yuca consumo en fresco,2020,490
15135,Campohermoso,Yuca consumo en fresco,2020,380
15162,Cerinza,Papa todas las variedades,2020,140
15162,Cerinza,Papa todas las variedades,2020,280
15172,Chinavita,Achira,2020,44
15172,Chinavita,Achira,2020,12
15172,Chinavita,Arracacha,2020,25
15172,Chinavita,Arracacha,2020,10
15172,Chinavita,Papa todas las variedades,2020,68
15172,Chinavita,Papa todas las variedades,2020,68
15172,Chinavita,Yuca consumo en fresco,2020,10
15172,Chinavita,Yuca consumo en fresco,2020,8
15176,Chiquinquirá,Papa Criolla,2020,36
15176,Chiquinquirá,Papa Criolla,2020,405
15176,Chiquinquirá,Papa todas las variedades,2020,2160
15176,Chiquinquirá,Papa todas las variedades,2020,3640
15180,Chiscas,Papa todas las variedades,2020,1440
15180,Chiscas,Papa todas las variedades,2020,1260
15183,Chita,Papa todas las variedades,2020,2784
15183,Chita,Papa todas las variedades,2020,2220
15185,Chitaraque,Yuca consumo en fresco,2020,300
15185,Chitaraque,Yuca consumo en fresco,2020,320
