geo,Municipio,Cultivo,Año,Producción(tn)
15187,Chivatá,Papa todas las variedades,2020,3750
15187,Chivatá,Papa todas las variedades,2020,1750
15189,Ciénega,Arracacha,2020,630
15189,Ciénega,Arracacha,2020,630
15189,Ciénega,Papa todas las variedades,2020,2860
15189,Ciénega,Papa todas las variedades,2020,3120
15204,Cómbita,Papa todas las variedades,2020,14960
15204,Cómbita,Papa todas las variedades,2020,14500
15212,Coper,Yuca consumo en fresco,2020,1500
15212,Coper,Yuca consumo en fresco,2020,540
15215,Corrales,Papa todas las variedades,2020,292
15215,Corrales,Papa todas las variedades,2020,19
15218,Covarachía,Yuca consumo en fresco,2020,150
15218,Covarachía,Yuca consumo en fresco,2020,200
15223,Cubará,Yuca consumo en fresco,2020,150
15223,Cubará,Yuca consumo en fresco,2020,100
15224,Cucaita,Papa todas las variedades,2020,7540
15224,Cucaita,Papa todas las variedades,2020,2160
15226,Cuítiva,Papa Criolla,2020,15
15226,Cuítiva,Papa Criolla,2020,15
15226,Cuítiva,Papa todas las variedades,2020,500
15226,Cuítiva,Papa todas las variedades,2020,700
15232,Chíquiza,Papa Criolla,2020,200
15232,Chíquiza,Papa Criolla,2020,200
15232,Chíquiza,Papa todas las variedades,2020,7000
15232,Chíquiza,Papa todas las variedades,2020,12000
15236,Chivor,Arracacha,2020,3
15236,Chivor,Arracacha,2020,4
15236,Chivor,Papa todas las variedades,2020,54
15236,Chivor,Papa todas las variedades,2020,119
15236,Chivor,Yuca consumo en fresco,2020,12
15236,Chivor,Yuca consumo en fresco,2020,12
15238,Duitama,Papa Criolla,2020,46
15238,Duitama,Papa Criolla,2020,46
15238,Duitama,Papa todas las variedades,2020,291
15238,Duitama,Papa todas las variedades,2020,251
15244,El Cocuy,Papa todas las variedades,2020,2610
15244,El Cocuy,Papa todas las variedades,2020,1440
15248,El Espino,Papa todas las variedades,2020,100
15248,El Espino,Papa todas las variedades,2020,140
15272,Firavitoba,Papa todas las variedades,2020,1800
15272,Firavitoba,Papa todas las variedades,2020,1950
15276,Floresta,Papa todas las variedades,2020,350
15293,Gachantivá,Arracacha,2020,56
15293,Gachantivá,Papa todas las variedades,2020,1005
15293,Gachantivá,Papa todas las variedades,2020,750
15293,Gachantivá,Yuca consumo en fresco,2020,350
15296,Gámeza,Papa todas las variedades,2020,4860
15296,Gámeza,Papa todas las variedades,2020,1740
15299,Garagoa,Arracacha,2020,65
15299,Garagoa,Papa todas las variedades,2020,24
15299,Garagoa,Papa todas las variedades,2020,21
15299,Garagoa,Yuca consumo en fresco,2020,56
15317,Guacamayas,Papa todas las variedades,2020,80
15317,Guacamayas,Papa todas las variedades,2020,108
15322,Guateque,Arracacha,2020,8
15322,Guateque,Arracacha,2020,8
15322,Guateque,Yuca consumo en fresco,2020,8
15322,Guateque,Yuca consumo en fresco,2020,7
15325,Guayatá,Achira,2020,70
15325,Guayatá,Achira,2020,4
15332,Güicán,Papa Criolla,2020,20
15332,Güicán,Papa Criolla,2020,28
15332,Güicán,Papa todas las variedades,2020,455
15332,Güicán,Papa todas las variedades,2020,234
15362,Iza,Papa todas las variedades,2020,410
15367,Jenesano,Arracacha,2020,240
15367,Jenesano,Arracacha,2020,144
15367,Jenesano,Papa todas las variedades,2020,7600
15367,Jenesano,Papa todas las variedades,2020,5700
15368,Jericó,Papa todas las variedades,2020,6000
15368,Jericó,Papa todas las variedades,2020,4000
15377,Labranzagrande,Arracacha,2020,59
15377,Labranzagrande,Malanga¬ Achín¬ Yota¬ Papa China¬ Bore,2020,135
15377,Labranzagrande,Papa todas las variedades,2020,72
15377,Labranzagrande,Yuca consumo en fresco,2020,317
15380,La Capilla,Arracacha,2020,136
15401,La Victoria,Yuca consumo en fresco,2020,48
15401,La Victoria,Yuca consumo en fresco,2020,40
15403,La Uvita,Arracacha,2020,10
15403,La Uvita,Papa Criolla,2020,18
15403,La Uvita,Papa Criolla,2020,6
15403,La Uvita,Papa todas las variedades,2020,276
15403,La Uvita,Papa todas las variedades,2020,126
15403,La Uvita,Yuca consumo en fresco,2020,10
15407,Villa de Leiva,Papa todas las variedades,2020,2101
15407,Villa de Leiva,Papa todas las variedades,2020,1824
15425,Macanal,Arracacha,2020,30
