geo,Municipio,Año,Puntaje
15368,JERICO,2019,46.399636
15377,LABRANZAGRANDE,2019,55.736543
15380,LA CAPILLA,2019,60.412373
15401,LA VICTORIA,2019,48.955851
15403,LA UVITA,2019,62.331420
15407,VILLA DE LEYVA,2019,71.438830
15425,MACANAL,2019,65.130452
15442,MARIPI,2019,54.661830
15455,MIRAFLORES,2019,67.168528
15464,MONGUA,2019,48.527527
15466,MONGUI,2019,54.721927
15469,MONIQUIRA,2019,56.303761
15476,MOTAVITA,2019,49.556635
15480,MUZO,2019,54.521784
15491,NOBSA,2019,58.908376
15494,NUEVO COLON,2019,52.288272
15500,OICATA,2019,66.410032
15507,OTANCHE,2019,58.072399
15511,PACHAVITA,2019,60.839996
15514,PAEZ,2019,51.603421
15516,PAIPA,2019,69.140908
15518,PAJARITO,2019,52.817750
15522,PANQUEBA,2019,38.360807
15531,PAUNA,2019,50.682371
15533,PAYA,2019,54.017897
15537,PAZ DE RIO,2019,58.250123
15542,PESCA,2019,55.091969
15550,PISVA,2019,58.202082
15572,PUERTO BOYACA,2019,63.595538
15580,QUIPAMA,2019,47.105697
15599,RAMIRIQUI,2019,63.517737
15600,RAQUIRA,2019,62.498597
15621,RONDON,2019,42.956478
15632,SABOYA,2019,58.037413
15638,SACHICA,2019,62.197021
15646,SAMACA,2019,62.314313
15660,SAN EDUARDO,2019,59.107865
15664,SAN JOSE DE PARE,2019,56.434234
15667,SAN LUIS DE GACENO,2019,63.488611
15673,SAN MATEO,2019,52.001211
15676,SAN MIGUEL DE SEMA,2019,66.279675
15681,SAN PABLO DE BORBUR,2019,45.274025
15686,SANTANA,2019,58.536874
15690,SANTA MARIA,2019,63.132134
15693,SANTA ROSA DE VITERB,2019,51.709445
15696,SANTA SOFIA,2019,63.280284
15720,SATIVANORTE,2019,50.164048
15723,SATIVASUR,2019,56.062264
15740,SIACHOQUE,2019,54.090397
15753,SOATA,2019,59.743601
15755,SOCOTA,2019,48.821225
15757,SOCHA,2019,63.481667
15759,SOGAMOSO,2019,67.404118
15761,SOMONDOCO,2019,59.686024
15762,SORA,2019,59.739099
15763,SOTAQUIRA,2019,59.675631
15764,SORACA,2019,50.104591
15774,SUSACON,2019,43.676617
15776,SUTAMARCHAN,2019,67.549490
15778,SUTATENZA,2019,61.784974
15790,TASCO,2019,55.604040
15798,TENZA,2019,61.411268
15804,TIBANA,2019,64.096408
15806,TIBASOSA,2019,69.500762
15808,TINJACA,2019,59.491548
15810,TIPACOQUE,2019,57.109812
15814,TOCA,2019,52.184482
15816,TOGUI,2019,60.962181
15820,TOPAGA,2019,59.218776
