Indicador,geo,Area,Periodo,Valor
Cobertura bruta de educación (media),15491,Nobsa,2016,0.764000
Cobertura bruta de educación (media),15494,Nuevo Colón,2016,0.736000
Cobertura bruta de educación (media),15500,Oicatá,2016,0.534000
Cobertura bruta de educación (media),15507,Otanche,2016,0.598000
Cobertura bruta de educación (media),15511,Pachavita,2016,0.608000
Cobertura bruta de educación (media),15514,Páez,2016,0.758000
Cobertura bruta de educación (media),15516,Paipa,2016,0.942000
Cobertura bruta de educación (media),15518,Pajarito,2016,1.296000
Cobertura bruta de educación (media),15522,Panqueba,2016,2.043000
Cobertura bruta de educación (media),15531,Pauna,2016,0.616000
Cobertura bruta de educación (media),15533,Paya,2016,0.805000
Cobertura bruta de educación (media),15537,Paz De Río,2016,0.793000
Cobertura bruta de educación (media),15542,Pesca,2016,0.594000
Cobertura bruta de educación (media),15550,Pisba,2016,0.929000
Cobertura bruta de educación (media),15572,Puerto Boyacá,2016,0.700000
Cobertura bruta de educación (media),15580,Quípama,2016,0.483000
Cobertura bruta de educación (media),15599,Ramiriquí,2016,0.902000
Cobertura bruta de educación (media),15600,Ráquira,2016,0.186000
Cobertura bruta de educación (media),15621,Rondón,2016,0.802000
Cobertura bruta de educación (media),15632,Saboyá,2016,1.022000
Cobertura bruta de educación (media),15638,Sáchica,2016,0.742000
Cobertura bruta de educación (media),15646,Samacá,2016,0.640000
Cobertura bruta de educación (media),15660,San Eduardo,2016,0.763000
Cobertura bruta de educación (media),15664,San José De Pare,2016,0.661000
Cobertura bruta de educación (media),15667,San Luis De Gaceno,2016,0.783000
Cobertura bruta de educación (media),15673,San Mateo,2016,1.211000
Cobertura bruta de educación (media),15676,San Miguel De Sema,2016,0.720000
Cobertura bruta de educación (media),15681,San Pablo De Borbur,2016,0.669000
Cobertura bruta de educación (media),15693,Santa Rosa De Viterbo,2016,0.692000
Cobertura bruta de educación (media),15696,Santa Sofía,2016,0.872000
Cobertura bruta de educación (media),15690,Santa María,2016,0.839000
Cobertura bruta de educación (media),15686,Santana,2016,0.832000
Cobertura bruta de educación (media),15720,Sativanorte,2016,0.600000
Cobertura bruta de educación (media),15723,Sativasur,2016,1.143000
Cobertura bruta de educación (media),15740,Siachoque,2016,0.873000
Cobertura bruta de educación (media),15753,Soatá,2016,1.603000
Cobertura bruta de educación (media),15757,Socha,2016,1.319000
Cobertura bruta de educación (media),15755,Socotá,2016,0.613000
Cobertura bruta de educación (media),15761,Somondoco,2016,1.277000
Cobertura bruta de educación (media),15762,Sora,2016,0.781000
Cobertura bruta de educación (media),15764,Soracá,2016,1.054000
Cobertura bruta de educación (media),15763,Sotaquirá,2016,0.783000
Cobertura bruta de educación (media),15774,Susacón,2016,0.488000
Cobertura bruta de educación (media),15776,Sutamarchán,2016,0.828000
Cobertura bruta de educación (media),15778,Sutatenza,2016,0.937000
Cobertura bruta de educación (media),15790,Tasco,2016,1.066000
Cobertura bruta de educación (media),15798,Tenza,2016,0.820000
Cobertura bruta de educación (media),15806,Tibasosa,2016,0.619000
Cobertura bruta de educación (media),15804,Tibaná,2016,0.696000
Cobertura bruta de educación (media),15808,Tinjacá,2016,0.626000
Cobertura bruta de educación (media),15810,Tipacoque,2016,0.962000
Cobertura bruta de educación (media),15814,Toca,2016,0.806000
Cobertura bruta de educación (media),15816,Togüí,2016,0.541000
Cobertura bruta de educación (media),15820,Tópaga,2016,0.857000
Cobertura bruta de educación (media),15822,Tota,2016,0.832000
Cobertura bruta de educación (media),15832,Tununguá,2016,0.800000
Cobertura bruta de educación (media),15835,Turmequé,2016,1.332000
Cobertura bruta de educación (media),15837,Tuta,2016,0.830000
Cobertura bruta de educación (media),15837,Tutaza,2016,1.383000
