Año,geo,Municipio,Porcentaje,Categoria
2018,15494,NUEVO COLÓN,0.006166,Cabecera
2018,15500,OICATÁ,0.000000,Cabecera
2018,15507,OTANCHE,0.016124,Cabecera
2018,15511,PACHAVITA,0.000000,Cabecera
2018,15514,PÁEZ,0.000000,Cabecera
2018,15516,PAIPA,0.000983,Cabecera
2018,15518,PAJARITO,0.017544,Cabecera
2018,15522,PANQUEBA,0.011765,Cabecera
2018,15531,PAUNA,0.010350,Cabecera
2018,15533,PAYA,0.022573,Cabecera
2018,15537,PAZ DE RÍO,0.002655,Cabecera
2018,15542,PESCA,0.009354,Cabecera
2018,15550,PISBA,0.041825,Cabecera
2018,15572,PUERTO BOYACÁ,0.020353,Cabecera
2018,15580,QUÍPAMA,0.028169,Cabecera
2018,15599,RAMIRIQUÍ,0.005755,Cabecera
2018,15600,RÁQUIRA,0.005869,Cabecera
2018,15621,RONDÓN,0.008696,Cabecera
2018,15632,SABOYÁ,0.000000,Cabecera
2018,15638,SÁCHICA,0.006936,Cabecera
2018,15646,SAMACÁ,0.001007,Cabecera
2018,15660,SAN EDUARDO,0.000000,Cabecera
2018,15664,SAN JOSÉ DE PARE,0.013742,Cabecera
2018,15667,SAN LUIS DE GACENO,0.000470,Cabecera
2018,15673,SAN MATEO,0.003439,Cabecera
2018,15676,SAN MIGUEL DE SEMA,0.017157,Cabecera
2018,15681,SAN PABLO DE BORBUR,0.007342,Cabecera
2018,15686,SANTANA,0.020262,Cabecera
2018,15690,SANTA MARÍA,0.004059,Cabecera
2018,15693,SANTA ROSA DE VITERBO,0.005506,Cabecera
2018,15696,SANTA SOFÍA,0.008130,Cabecera
2018,15720,SATIVANORTE,0.000000,Cabecera
2018,15723,SATIVASUR,0.000000,Cabecera
2018,15740,SIACHOQUE,0.010753,Cabecera
2018,15753,SOATÁ,0.003577,Cabecera
2018,15755,SOCOTÁ,0.007386,Cabecera
2018,15757,SOCHA,0.004500,Cabecera
2018,15759,SOGAMOSO,0.001545,Cabecera
2018,15761,SOMONDOCO,0.000000,Cabecera
2018,15762,SORA,0.002188,Cabecera
2018,15763,SOTAQUIRÁ,0.000000,Cabecera
2018,15764,SORACÁ,0.011315,Cabecera
2018,15774,SUSACÓN,0.000000,Cabecera
2018,15776,SUTAMARCHÁN,0.001920,Cabecera
2018,15778,SUTATENZA,0.003035,Cabecera
2018,15790,TASCO,0.004723,Cabecera
2018,15798,TENZA,0.000000,Cabecera
2018,15804,TIBANÁ,0.006683,Cabecera
2018,15806,TIBASOSA,0.001674,Cabecera
2018,15808,TINJACÁ,0.000000,Cabecera
2018,15810,TIPACOQUE,0.019824,Cabecera
2018,15814,TOCA,0.010939,Cabecera
2018,15816,TOGÜÍ,0.000000,Cabecera
2018,15820,TÓPAGA,0.011893,Cabecera
2018,15822,TOTA,0.007802,Cabecera
2018,15832,TUNUNGUÁ,0.003984,Cabecera
2018,15835,TURMEQUÉ,0.008780,Cabecera
2018,15837,TUTA,0.001738,Cabecera
2018,15839,TUTAZÁ,0.000000,Cabecera
2018,15842,UMBITA,0.016798,Cabecera
2018,15861,VENTAQUEMADA,0.004296,Cabecera
2018,15879,VIRACACHÁ,0.014528,Cabecera
2018,15897,ZETAQUIRA,0.000000,Cabecera
2018,15001,TUNJA,0.015873,Centros poblados y rural disperso
2018,15022,ALMEIDA,0.009464,Centros poblados y rural disperso
2018,15047,AQUITANIA,0.020998,Centros poblados y rural disperso
2018,15051,ARCABUCO,0.006191,Centros poblados y rural disperso
2018,15087,BELÉN,0.012676,Centros poblados y rural disperso
2018,15090,BERBEO,0.037178,Centros poblados y rural disperso
2018,15092,BETÉITIVA,0.015664,Centros poblados y rural disperso
2018,15097,BOAVITA,0.056512,Centros poblados y rural disperso
2018,15104,BOYACÁ,0.009211,Centros poblados y rural disperso
2018,15106,BRICEÑO,0.026633,Centros poblados y rural disperso
2018,15109,BUENAVISTA,0.011309,Centros poblados y rural disperso
2018,15114,BUSBANZÁ,0.000000,Centros poblados y rural disperso
2018,15131,CALDAS,0.019298,Centros poblados y rural disperso
2018,15135,CAMPOHERMOSO,0.021908,Centros poblados y rural disperso
2018,15162,CERINZA,0.005440,Centros poblados y rural disperso
2018,15172,CHINAVITA,0.025120,Centros poblados y rural disperso
2018,15176,CHIQUINQUIRÁ,0.019203,Centros poblados y rural disperso
2018,15180,CHISCAS,0.090179,Centros poblados y rural disperso
2018,15183,CHITA,0.145648,Centros poblados y rural disperso
2018,15185,CHITARAQUE,0.060168,Centros poblados y rural disperso
2018,15187,CHIVATÁ,0.028534,Centros poblados y rural disperso
2018,15189,CIÉNEGA,0.006393,Centros poblados y rural disperso
2018,15204,CÓMBITA,0.006699,Centros poblados y rural disperso
2018,15212,COPER,0.023154,Centros poblados y rural disperso
2018,15215,CORRALES,0.044229,Centros poblados y rural disperso
2018,15218,COVARACHÍA,0.072199,Centros poblados y rural disperso
2018,15223,CUBARÁ,0.672937,Centros poblados y rural disperso
2018,15224,CUCAITA,0.008854,Centros poblados y rural disperso
2018,15226,CUÍTIVA,0.010167,Centros poblados y rural disperso
2018,15232,CHÍQUIZA,0.023157,Centros poblados y rural disperso
2018,15236,CHIVOR,0.005698,Centros poblados y rural disperso
2018,15238,DUITAMA,0.002108,Centros poblados y rural disperso
2018,15244,EL COCUY,0.097507,Centros poblados y rural disperso
2018,15248,EL ESPINO,0.025566,Centros poblados y rural disperso
2018,15272,FIRAVITOBA,0.007683,Centros poblados y rural disperso
2018,15276,FLORESTA,0.035679,Centros poblados y rural disperso
2018,15293,GACHANTIVÁ,0.015075,Centros poblados y rural disperso
2018,15296,GAMEZA,0.024398,Centros poblados y rural disperso
2018,15299,GARAGOA,0.023629,Centros poblados y rural disperso
2018,15317,GUACAMAYAS,0.013675,Centros poblados y rural disperso
