geo,Municipio,ICEE,Año
15798,Tenza,70.9,2022
15798,Tenza,71.61,2023
15798,Tenza,72.25,2024
15804,Tibana,85.69,2020
15804,Tibana,86.87,2021
15804,Tibana,89,2022
15804,Tibana,89.8,2023
15804,Tibana,91.47,2024
15806,Tibasosa,100,2020
15806,Tibasosa,100,2021
15806,Tibasosa,100,2022
15806,Tibasosa,93.27,2023
15806,Tibasosa,94.37,2024
15808,Tinjacá,88.13,2020
15808,Tinjacá,91.32,2021
15808,Tinjacá,94.86,2022
15808,Tinjacá,97.15,2023
15808,Tinjacá,100,2024
15810,Tipacoque,88.98,2020
15810,Tipacoque,89.91,2021
15810,Tipacoque,89.44,2022
15810,Tipacoque,89.62,2023
15810,Tipacoque,96.37,2024
15814,Toca,95.97,2020
15814,Toca,98.04,2021
15814,Toca,99.07,2022
15814,Toca,99.62,2023
15814,Toca,100,2024
15816,Togüí,95.36,2020
15816,Togüí,96.79,2021
15816,Togüí,99.9,2022
15816,Togüí,99.9,2023
15816,Togüí,100,2024
15820,Tópaga,95.63,2020
15820,Tópaga,95.83,2021
15820,Tópaga,97.85,2022
15820,Tópaga,96.79,2023
15820,Tópaga,99.04,2024
15822,Tota,69.56,2020
15822,Tota,69.28,2021
15822,Tota,69.87,2022
15822,Tota,69.82,2023
15822,Tota,71.35,2024
15832,Tununguá,95.55,2020
15832,Tununguá,99.32,2021
15832,Tununguá,100,2022
15832,Tununguá,100,2023
15832,Tununguá,100,2024
15835,Turmequé,100,2020
15835,Turmequé,100,2021
15835,Turmequé,100,2022
15835,Turmequé,100,2023
15835,Turmequé,100,2024
15837,Tuta,100,2020
15837,Tuta,100,2021
15837,Tuta,100,2022
15837,Tuta,100,2023
15837,Tuta,100,2024
15839,Tutazá,79.33,2020
15839,Tutazá,81.54,2021
15839,Tutazá,81.6,2022
15839,Tutazá,80.82,2023
15839,Tutazá,84.58,2024
15842,Umbita,92.41,2020
15842,Umbita,93.26,2021
15842,Umbita,94.17,2022
15842,Umbita,91.12,2023
15842,Umbita,92.29,2024
15861,Ventaquemada,100,2020
15861,Ventaquemada,100,2021
15861,Ventaquemada,100,2022
15861,Ventaquemada,97.88,2023
15861,Ventaquemada,99.39,2024
15879,Viracachá,76.96,2020
15879,Viracachá,76.7,2021
15879,Viracachá,76.61,2022
15879,Viracachá,76.27,2023
15879,Viracachá,76.59,2024
15897,Zetaquirá,74.5,2020
15897,Zetaquirá,74.8,2021
15897,Zetaquirá,89.65,2022
15897,Zetaquirá,95.18,2023
15897,Zetaquirá,97.98,2024
