geo,Municipio,Año,Producción,Tipo
15001,Tunja,2019,30.000000,Permanente
15407,Villa de Leyva,2019,883.000000,Permanente
15814,Toca,2019,1038.000000,Permanente
15646,Samacá,2019,0.000000,Permanente
15764,Soracá,2019,640.000000,Permanente
15051,Arcabuco,2019,2249.000000,Permanente
15804,Tibaná,2019,34738.000000,Permanente
15455,Miraflores,2019,41614.150000,Permanente
15442,Maripí,2019,33967.400000,Permanente
15212,Coper,2019,37189.100000,Permanente
15476,Motavita,2019,80.000000,Permanente
15232,Chíquiza,2019,,Permanente
15776,Sutamarchán,2019,2801.000000,Permanente
15204,Cómbita,2019,1766.000000,Permanente
15839,Tutazá,2019,68.000000,Permanente
15842,Úmbita,2019,4064.600000,Permanente
15531,Pauna,2019,25610.000000,Permanente
15367,Jenesano,2019,9692.000000,Permanente
15494,Nuevo Colón,2019,15456.000000,Permanente
15763,Sotaquirá,2019,10804.000000,Permanente
15835,Turmequé,2019,4180.000000,Permanente
15109,Buenavista,2019,17526.000000,Permanente
15104,Boyacá,2019,601.000000,Permanente
15696,Santa Sofía,2019,6161.300000,Permanente
15806,Tibasosa,2019,200.000000,Permanente
15822,Tota,2019,84.000000,Permanente
15755,Socotá,2019,3422.000000,Permanente
15542,Pesca,2019,1.000000,Permanente
15580,Quípama,2019,12722.000000,Permanente
15638,Sáchica,2019,,Permanente
15224,Cucaita,2019,66.000000,Permanente
15832,Tununguá,2019,14302.450000,Permanente
15189,Ciénega,2019,4561.000000,Permanente
15600,Ráquira,2019,773.000000,Permanente
15087,Belén,2019,100.400000,Permanente
15599,Ramiriquí,2019,2704.000000,Permanente
15507,Otanche,2019,13371.200000,Permanente
15879,Viracachá,2019,449.370000,Permanente
15368,Jericó,2019,72.000000,Permanente
15480,Muzo,2019,9000.500000,Permanente
15759,Sogamoso,2019,91.000000,Permanente
15131,Caldas,2019,700.000000,Permanente
15762,Sora,2019,,Permanente
15425,Macanal,2019,7735.000000,Permanente
15491,Nobsa,2019,190.000000,Permanente
15511,Pachavita,2019,2461.800000,Permanente
15293,Gachantivá,2019,5956.000000,Permanente
15897,Zetaquira,2019,7436.600000,Permanente
15837,Tuta,2019,1285.000000,Permanente
15176,Chiquinquirá,2019,751.000000,Permanente
15325,Guayatá,2019,3632.800000,Permanente
15218,Covarachía,2019,2115.000000,Permanente
15238,Duitama,2019,776.000000,Permanente
15296,Gámeza,2019,,Permanente
15097,Boavita,2019,3519.000000,Permanente
15272,Firavitoba,2019,13.150000,Permanente
15500,Oicatá,2019,1484.000000,Permanente
15180,Chiscas,2019,1806.000000,Permanente
15380,La Capilla,2019,2233.170000,Permanente
15106,Briceño,2019,3803.000000,Permanente
15798,Tenza,2019,973.000000,Permanente
15183,Chita,2019,899.000000,Permanente
15774,Susacón,2019,924.000000,Permanente
15681,San Pablo de Borbur,2019,3986.400000,Permanente
15516,Paipa,2019,2394.900000,Permanente
15377,Labranzagrande,2019,4576.500000,Permanente
15572,Puerto Boyacá,2019,2567.750000,Permanente
15514,Páez,2019,4931.000000,Permanente
15226,Cuítiva,2019,67.200000,Permanente
15660,San Eduardo,2019,2060.000000,Permanente
15236,Chivor,2019,4534.000000,Permanente
15808,Tinjacá,2019,520.500000,Permanente
15187,Chivatá,2019,10.500000,Permanente
15022,Almeida,2019,3263.000000,Permanente
15753,Soatá,2019,1790.000000,Permanente
15244,El Cocuy,2019,,Permanente
15135,Campohermoso,2019,2865.610000,Permanente
15673,San Mateo,2019,947.300000,Permanente
15522,Panqueba,2019,302.000000,Permanente
15518,Pajarito,2019,3572.000000,Permanente
15693,Santa Rosa de Viterbo,2019,9.000000,Permanente
15820,Tópaga,2019,0.000000,Permanente
15172,Chinavita,2019,2699.000000,Permanente
15215,Corrales,2019,219.950000,Permanente
15464,Mongua,2019,70.200000,Permanente
15466,Monguí,2019,75.600000,Permanente
15810,Tipacoque,2019,692.000000,Permanente
15621,Rondón,2019,2372.500000,Permanente
15090,Berbeo,2019,1530.500000,Permanente
15667,San Luis de Gaceno,2019,244.000000,Permanente
15720,Sativanorte,2019,543.000000,Permanente
15299,Garagoa,2019,1385.400000,Permanente
15317,Guacamayas,2019,1099.000000,Permanente
15690,Santa María,2019,1202.500000,Permanente
15676,San Miguel de Sema,2019,280.000000,Permanente
15778,Sutatenza,2019,552.000000,Permanente
15092,Betéitiva,2019,38.000000,Permanente
15761,Somondoco,2019,614.000000,Permanente
15248,El Espino,2019,128.000000,Permanente
15757,Socha,2019,120.000000,Permanente
15403,La Uvita,2019,182.000000,Permanente
