geo,Municipio,Año,Porcentaje,Tipo
15232,Chíquiza,2019,0.000000,Permanente
15776,Sutamarchán,2019,11.988606,Permanente
15204,Cómbita,2019,5.761545,Permanente
15839,Tutazá,2019,0.196641,Permanente
15842,Úmbita,2019,16.005822,Permanente
15531,Pauna,2019,92.048167,Permanente
15367,Jenesano,2019,47.328841,Permanente
15494,Nuevo Colón,2019,71.714922,Permanente
15763,Sotaquirá,2019,36.409530,Permanente
15835,Turmequé,2019,29.167946,Permanente
15109,Buenavista,2019,88.463994,Permanente
15104,Boyacá,2019,3.405470,Permanente
15696,Santa Sofía,2019,30.819444,Permanente
15806,Tibasosa,2019,1.169447,Permanente
15822,Tota,2019,0.410660,Permanente
15755,Socotá,2019,20.492699,Permanente
15542,Pesca,2019,0.003316,Permanente
15580,Quípama,2019,82.884878,Permanente
15638,Sáchica,2019,0.000000,Permanente
15224,Cucaita,2019,0.343390,Permanente
15832,Tununguá,2019,95.768174,Permanente
15189,Ciénega,2019,36.127906,Permanente
15600,Ráquira,2019,5.596178,Permanente
15087,Belén,2019,0.958408,Permanente
15599,Ramiriquí,2019,19.927395,Permanente
15507,Otanche,2019,92.771610,Permanente
15879,Viracachá,2019,3.961563,Permanente
15368,Jericó,2019,0.682850,Permanente
15480,Muzo,2019,86.592394,Permanente
15759,Sogamoso,2019,0.745902,Permanente
15131,Caldas,2019,7.180224,Permanente
15762,Sora,2019,0.000000,Permanente
15425,Macanal,2019,78.712514,Permanente
15491,Nobsa,2019,1.516990,Permanente
15511,Pachavita,2019,31.864661,Permanente
15293,Gachantivá,2019,66.291209,Permanente
15897,Zetaquira,2019,94.127028,Permanente
15837,Tuta,2019,16.745071,Permanente
15176,Chiquinquirá,2019,9.483401,Permanente
15325,Guayatá,2019,46.919639,Permanente
15218,Covarachía,2019,33.802736,Permanente
15238,Duitama,2019,10.307964,Permanente
15296,Gámeza,2019,0.000000,Permanente
15097,Boavita,2019,61.911389,Permanente
15272,Firavitoba,2019,0.189603,Permanente
15500,Oicatá,2019,21.554103,Permanente
15180,Chiscas,2019,25.189198,Permanente
15380,La Capilla,2019,30.041002,Permanente
15106,Briceño,2019,97.964967,Permanente
15798,Tenza,2019,13.292549,Permanente
15183,Chita,2019,11.182566,Permanente
15774,Susacón,2019,19.505893,Permanente
15681,San Pablo de Borbur,2019,87.035311,Permanente
15516,Paipa,2019,31.730658,Permanente
15377,Labranzagrande,2019,90.369654,Permanente
15572,Puerto Boyacá,2019,49.540337,Permanente
15514,Páez,2019,92.427366,Permanente
15226,Cuítiva,2019,1.313313,Permanente
15660,San Eduardo,2019,77.163095,Permanente
15236,Chivor,2019,93.656981,Permanente
15808,Tinjacá,2019,10.174382,Permanente
15187,Chivatá,2019,0.335453,Permanente
15022,Almeida,2019,75.950840,Permanente
15753,Soatá,2019,54.274496,Permanente
15244,El Cocuy,2019,0.000000,Permanente
15135,Campohermoso,2019,74.054424,Permanente
15673,San Mateo,2019,31.343679,Permanente
