geo,Municipio,Porcentaje,Año
15572,Puerto Boyacá,0,2020
15572,Puerto Boyacá,1.16,2021
15572,Puerto Boyacá,1.98,2022
15572,Puerto Boyacá,0.88,2023
15572,Puerto Boyacá,0.87,2024
15572,Puerto Boyacá,0.87,2025
15580,Quípama,8.95,2020
15580,Quípama,10.06,2021
15580,Quípama,10.33,2022
15580,Quípama,28.14,2023
15580,Quípama,28.14,2024
15580,Quípama,39.64,2025
15599,Ramiriquí,92.39,2020
15599,Ramiriquí,92.4,2021
15599,Ramiriquí,92.4,2022
15599,Ramiriquí,92.4,2023
15599,Ramiriquí,89.16,2024
15599,Ramiriquí,87.88,2025
15600,Ráquira,24.05,2020
15600,Ráquira,24.05,2021
15600,Ráquira,24.05,2022
15600,Ráquira,25.57,2023
15600,Ráquira,25.57,2024
15600,Ráquira,25.57,2025
15621,Rondón,100,2020
15621,Rondón,53.18,2021
15621,Rondón,53.18,2022
15621,Rondón,53.07,2023
15621,Rondón,53.16,2024
15621,Rondón,53.16,2025
15632,Saboyá,93.14,2020
15632,Saboyá,0.51,2021
15632,Saboyá,85.47,2022
15632,Saboyá,100,2023
15632,Saboyá,100,2024
15632,Saboyá,100,2025
15638,Sáchica,62.6,2020
15638,Sáchica,62.6,2021
15638,Sáchica,65.1,2022
15638,Sáchica,70.54,2023
15638,Sáchica,86.19,2024
15638,Sáchica,86.19,2025
15646,Samacá,53.17,2020
15646,Samacá,53.99,2021
15646,Samacá,99.13,2022
15646,Samacá,53.84,2023
15646,Samacá,99.13,2024
15646,Samacá,99.13,2025
15660,San Eduardo,0,2020
15660,San Eduardo,2.35,2021
15660,San Eduardo,2.35,2022
15660,San Eduardo,100,2025
15664,San José De Pare,16.32,2020
15664,San José De Pare,39.52,2021
15664,San José De Pare,100,2022
15664,San José De Pare,100,2023
15664,San José De Pare,100,2024
15667,San Luis De Gaceno,0,2020
15667,San Luis De Gaceno,0,2021
15667,San Luis De Gaceno,0,2022
15667,San Luis De Gaceno,0,2023
15667,San Luis De Gaceno,0,2024
15667,San Luis De Gaceno,0,2025
15673,San Mateo,20.11,2022
15673,San Mateo,99.28,2023
15673,San Mateo,51.51,2024
15673,San Mateo,51.94,2025
15676,San Miguel De Sema,100,2020
15676,San Miguel De Sema,100,2021
15676,San Miguel De Sema,99.76,2022
15676,San Miguel De Sema,99.79,2023
15676,San Miguel De Sema,99.76,2024
15676,San Miguel De Sema,99.76,2025
15681,San Pablo De Borbur,13.83,2020
15681,San Pablo De Borbur,13.83,2021
15681,San Pablo De Borbur,23.07,2022
15681,San Pablo De Borbur,20.57,2023
15681,San Pablo De Borbur,21.61,2024
15681,San Pablo De Borbur,21.61,2025
15686,Santana,41.14,2020
15686,Santana,40.41,2021
15686,Santana,71.55,2022
15686,Santana,100,2024
15686,Santana,100,2025
15690,Santa María,0,2020
15690,Santa María,0,2021
15690,Santa María,0,2022
15690,Santa María,0,2023
15690,Santa María,93.17,2024
15690,Santa María,100,2025
15693,Santa Rosa De Viterbo,100,2020
15693,Santa Rosa De Viterbo,100,2021
15693,Santa Rosa De Viterbo,100,2022
15693,Santa Rosa De Viterbo,100,2023
15693,Santa Rosa De Viterbo,100,2024
15693,Santa Rosa De Viterbo,100,2025
15696,Santa Sofía,100,2020
15696,Santa Sofía,100,2021
15696,Santa Sofía,90.41,2022
15696,Santa Sofía,90.41,2023
15696,Santa Sofía,90.41,2024
15696,Santa Sofía,89.81,2025
15720,Sativanorte,15.73,2020
