geo,Municipio,Año,Puntaje en resultados
15204,COMBITA,2019,67.092511
15212,COPER,2019,63.842488
15215,CORRALES,2019,63.098447
15218,COVARACHIA,2019,72.592141
15223,CUBARA,2019,59.562977
15224,CUCAITA,2019,64.383135
15226,CUITIVA,2019,64.927320
15232,CHIQUIZA,2019,68.728626
15236,CHIVOR,2019,65.348833
15238,DUITAMA,2019,73.604891
15244,EL COCUY,2019,72.600133
15248,EL ESPINO,2019,74.599208
15272,FIRAVITOBA,2019,68.183106
15276,FLORESTA,2019,77.036666
15293,GACHANTIVA,2019,66.250796
15296,GAMEZA,2019,65.444106
15299,GARAGOA,2019,74.545799
15317,GUACAMAYAS,2019,66.486304
15322,GUATEQUE,2019,70.677532
15325,GUAYATA,2019,67.110685
15332,GUICAN,2019,67.916656
15362,IZA,2019,69.511152
15367,JENESANO,2019,75.638298
15368,JERICO,2019,72.142585
15377,LABRANZAGRANDE,2019,65.588981
15380,LA CAPILLA,2019,72.839954
15401,LA VICTORIA,2019,60.094697
15403,LA UVITA,2019,72.315793
15407,VILLA DE LEYVA,2019,71.545097
15425,MACANAL,2019,70.322887
15442,MARIPI,2019,66.675402
15455,MIRAFLORES,2019,68.700035
15464,MONGUA,2019,68.458289
15466,MONGUI,2019,74.485859
15469,MONIQUIRA,2019,69.196022
15476,MOTAVITA,2019,61.123293
15480,MUZO,2019,70.067834
15491,NOBSA,2019,70.870687
15494,NUEVO COLON,2019,69.389980
15500,OICATA,2019,59.907977
15507,OTANCHE,2019,66.681445
15511,PACHAVITA,2019,69.710901
15514,PAEZ,2019,68.851896
15516,PAIPA,2019,72.474116
15518,PAJARITO,2019,60.179338
15522,PANQUEBA,2019,69.183946
15531,PAUNA,2019,70.598376
15533,PAYA,2019,57.166437
15537,PAZ DE RIO,2019,72.042555
15542,PESCA,2019,68.304286
15550,PISVA,2019,60.320392
15572,PUERTO BOYACA,2019,69.205273
15580,QUIPAMA,2019,67.290268
15599,RAMIRIQUI,2019,69.117968
15600,RAQUIRA,2019,64.514327
15621,RONDON,2019,71.600886
15632,SABOYA,2019,70.058311
15638,SACHICA,2019,69.251134
15646,SAMACA,2019,72.303008
15660,SAN EDUARDO,2019,71.642227
15664,SAN JOSE DE PARE,2019,64.269931
15667,SAN LUIS DE GACENO,2019,66.662474
15673,SAN MATEO,2019,74.415356
15676,SAN MIGUEL DE SEMA,2019,73.590060
15681,SAN PABLO DE BORBUR,2019,67.503985
15686,SANTANA,2019,67.345117
15690,SANTA MARIA,2019,68.600620
15693,SANTA ROSA DE VITERB,2019,72.455337
15696,SANTA SOFIA,2019,63.904272
15720,SATIVANORTE,2019,71.414913
15723,SATIVASUR,2019,74.347675
15740,SIACHOQUE,2019,75.325833
15753,SOATA,2019,73.794811
15755,SOCOTA,2019,71.190444
15757,SOCHA,2019,74.810159
15759,SOGAMOSO,2019,73.186773
15761,SOMONDOCO,2019,67.993388
15762,SORA,2019,66.227310
15763,SOTAQUIRA,2019,66.812459
15764,SORACA,2019,69.653487
15774,SUSACON,2019,66.567583
15776,SUTAMARCHAN,2019,65.813712
15778,SUTATENZA,2019,65.291511
15790,TASCO,2019,72.955865
15798,TENZA,2019,73.424701
15804,TIBANA,2019,69.033370
15806,TIBASOSA,2019,66.442555
15808,TINJACA,2019,65.128461
15810,TIPACOQUE,2019,71.115536
15814,TOCA,2019,75.712834
15816,TOGUI,2019,67.841572
15820,TOPAGA,2019,69.393221
15822,TOTA,2019,71.959884
15832,TUNUNGUA,2019,69.647412
15835,TURMEQUE,2019,69.603257
15837,TUTA,2019,71.061016
15839,TUTASA,2019,69.281173
15842,UMBITA,2019,71.634670
15861,VENTAQUEMADA,2019,68.522184
15879,VIRACACHA,2019,62.483890
15897,ZETAQUIRA,2019,73.007480
15001,TUNJA,2020,71.972000
15022,ALMEIDA,2020,63.945965
15047,AQUITANIA,2020,69.979881
15051,ARCABUCO,2020,69.181732
15087,BELEN,2020,74.524490
15090,BERBEO,2020,73.870575
15092,BETEITIVA,2020,63.666321
15097,BOAVITA,2020,71.159683
15104,BOYACA,2020,69.861732
15106,BRICEÐO,2020,72.994514
15109,BUENAVISTA,2020,67.825600
15114,BUSBANZA,2020,64.324478
15131,CALDAS,2020,65.748138
15135,CAMPOHERMOSO,2020,66.351021
15162,CERINZA,2020,73.388756
15172,CHINAVITA,2020,72.248199
15176,CHIQUINQUIRA,2020,75.758087
15180,CHISCAS,2020,71.318855
15183,CHITA,2020,72.282173
15185,CHITARAQUE,2020,69.365707
15187,CHIVATA,2020,65.523880
15189,CIENAGA,2020,72.304291
15204,COMBITA,2020,65.875961
15212,COPER,2020,64.475655
15215,CORRALES,2020,71.290482
15218,COVARACHIA,2020,72.747307
15223,CUBARA,2020,66.559723
15224,CUCAITA,2020,73.095337
15226,CUITIVA,2020,62.812042
15232,CHIQUIZA,2020,69.195496
15236,CHIVOR,2020,61.899834
15238,DUITAMA,2020,77.501961
15244,EL COCUY,2020,72.554520
15248,EL ESPINO,2020,74.728561
15272,FIRAVITOBA,2020,70.701004
15276,FLORESTA,2020,76.522018
15293,GACHANTIVA,2020,73.234039
15296,GAMEZA,2020,67.048683
15299,GARAGOA,2020,73.953171
15317,GUACAMAYAS,2020,70.937492
15322,GUATEQUE,2020,70.151794
15325,GUAYATA,2020,66.527573
15332,GUICAN,2020,64.446625
15362,IZA,2020,71.699661
15367,JENESANO,2020,72.617584
15368,JERICO,2020,67.000008
15377,LABRANZAGRANDE,2020,64.154747
15380,LA CAPILLA,2020,67.746674
15401,LA VICTORIA,2020,70.120499
15403,LA UVITA,2020,76.620277
15407,VILLA DE LEYVA,2020,73.256065
15425,MACANAL,2020,65.641052
15442,MARIPI,2020,66.361069
15455,MIRAFLORES,2020,71.501053
15464,MONGUA,2020,69.879669
15466,MONGUI,2020,73.893646
15469,MONIQUIRA,2020,73.330437
15476,MOTAVITA,2020,61.592987
15480,MUZO,2020,71.510925
15491,NOBSA,2020,72.882362
15494,NUEVO COLON,2020,69.135605
15500,OICATA,2020,63.660126
15507,OTANCHE,2020,66.891235
15511,PACHAVITA,2020,71.492485
15514,PAEZ,2020,65.614151
15516,PAIPA,2020,76.210312
15518,PAJARITO,2020,65.017136
15522,PANQUEBA,2020,68.530495
15531,PAUNA,2020,69.374573
15533,PAYA,2020,66.974167
15537,PAZ DE RIO,2020,74.056892
15542,PESCA,2020,68.449997
15550,PISVA,2020,61.500973
15572,PUERTO BOYACA,2020,71.355827
15580,QUIPAMA,2020,69.411072
15599,RAMIRIQUI,2020,69.827599
15600,RAQUIRA,2020,66.868309
15621,RONDON,2020,73.290970
