geo,Municipio,Toneladas,Año
15507,Otanche,1.37,2024
15511,Pachavita,0.17,2020
15511,Pachavita,0.13,2021
15511,Pachavita,0.1,2022
15511,Pachavita,0.09,2023
15511,Pachavita,0.12,2024
15514,Páez,0.35,2020
15514,Páez,0.34,2021
15514,Páez,1.11,2022
15514,Páez,0.38,2023
15514,Páez,0.63,2024
15516,Paipa,13.35,2020
15516,Paipa,15.99,2021
15516,Paipa,19.37,2022
15516,Paipa,16.03,2023
15516,Paipa,16.75,2024
15518,Pajarito,0.37,2020
15518,Pajarito,0.36,2021
15518,Pajarito,0.41,2022
15518,Pajarito,0.56,2023
15518,Pajarito,0.36,2024
15522,Panqueba,0.13,2020
15522,Panqueba,0.17,2021
15522,Panqueba,0.23,2022
15522,Panqueba,0.17,2023
15522,Panqueba,0.15,2024
15531,Pauna,0.77,2020
15531,Pauna,0.88,2021
15531,Pauna,0.86,2022
15531,Pauna,0.77,2023
15531,Pauna,0.82,2024
15533,Paya,0.09,2020
15533,Paya,0.07,2021
15533,Paya,0.06,2022
15533,Paya,0.09,2023
15533,Paya,0.12,2024
15537,Paz De Río,0.58,2020
15537,Paz De Río,0.68,2021
15537,Paz De Río,1.29,2022
15537,Paz De Río,0.76,2023
15537,Paz De Río,0.78,2024
15542,Pesca,0.87,2020
15542,Pesca,0.97,2021
15542,Pesca,1.32,2022
15542,Pesca,0.75,2023
15542,Pesca,0.98,2024
15550,Pisba,0.08,2020
15550,Pisba,0.1,2021
15550,Pisba,0.07,2022
15550,Pisba,0.08,2023
15550,Pisba,0.11,2024
15572,Puerto Boyacá,25.63,2020
15572,Puerto Boyacá,25.06,2021
15572,Puerto Boyacá,50.29,2022
15572,Puerto Boyacá,25.1,2023
15572,Puerto Boyacá,25.25,2024
15580,Quípama,0.47,2020
15580,Quípama,0.54,2021
15580,Quípama,0.57,2022
15580,Quípama,0.67,2023
15580,Quípama,0.65,2024
15599,Ramiriquí,2.68,2020
15599,Ramiriquí,2.84,2021
15599,Ramiriquí,2.64,2022
15599,Ramiriquí,2.73,2023
15599,Ramiriquí,2.88,2024
15600,Ráquira,1.24,2020
15600,Ráquira,1.6,2021
15600,Ráquira,1.69,2022
15600,Ráquira,1.68,2023
15600,Ráquira,1.7,2024
15621,Rondón,0.22,2020
15621,Rondón,0.23,2021
15621,Rondón,0.24,2022
15621,Rondón,0.22,2023
15621,Rondón,0.24,2024
15632,Saboyá,0.55,2020
15632,Saboyá,0.65,2021
15632,Saboyá,0.46,2022
15632,Saboyá,0.45,2023
15632,Saboyá,0.43,2024
15638,Sáchica,1.56,2020
15638,Sáchica,1.55,2021
15638,Sáchica,1.64,2022
15638,Sáchica,1.75,2023
15638,Sáchica,1.88,2024
15646,Samacá,5.81,2020
15646,Samacá,6.83,2021
15646,Samacá,6.73,2022
15646,Samacá,7.1,2023
15646,Samacá,7.28,2024
15660,San Eduardo,0.14,2020
15660,San Eduardo,0.18,2021
15660,San Eduardo,0.24,2022
15660,San Eduardo,0.25,2023
15660,San Eduardo,0.24,2024
15664,San José De Pare,0.39,2020
15664,San José De Pare,0.41,2021
15664,San José De Pare,0.43,2022
15664,San José De Pare,0.39,2023
15664,San José De Pare,0.45,2024
