geo,Municipio,Grupo cultivo,Desagregación cultivo,Año,Área cosechada,Ciclo del cultivo
15676,San Miguel de Sema,Raíces y Tubérculos,Papa todas las variedades,2019,40.000000,Transitorio
15681,San Pablo de Borbur,Raíces y Tubérculos,Yuca consumo en fresco,2019,48.000000,Transitorio
15681,San Pablo de Borbur,Raíces y Tubérculos,Yuca Industrial,2019,1.000000,Transitorio
15686,Santana,Raíces y Tubérculos,Yuca consumo en fresco,2019,50.000000,Transitorio
15686,Santana,Raíces y Tubérculos,Yuca consumo en fresco,2019,50.000000,Transitorio
15690,Santa María,Raíces y Tubérculos,Arracacha,2019,1.000000,Transitorio
15690,Santa María,Raíces y Tubérculos,Malanga¬ Achín¬ Yota¬ Papa China¬ Bore,2019,2.000000,Transitorio
15690,Santa María,Raíces y Tubérculos,Yuca consumo en fresco,2019,70.000000,Transitorio
15690,Santa María,Raíces y Tubérculos,Yuca consumo en fresco,2019,9.000000,Transitorio
15693,Santa Rosa de Viterbo,Raíces y Tubérculos,Nabo,2019,4.000000,Transitorio
15693,Santa Rosa de Viterbo,Raíces y Tubérculos,Nabo,2019,3.000000,Transitorio
15693,Santa Rosa de Viterbo,Raíces y Tubérculos,Papa Criolla,2019,30.000000,Transitorio
15693,Santa Rosa de Viterbo,Raíces y Tubérculos,Papa Criolla,2019,21.000000,Transitorio
15693,Santa Rosa de Viterbo,Raíces y Tubérculos,Papa todas las variedades,2019,27.000000,Transitorio
15693,Santa Rosa de Viterbo,Raíces y Tubérculos,Papa todas las variedades,2019,26.000000,Transitorio
15696,Santa Sofía,Raíces y Tubérculos,Papa todas las variedades,2019,45.000000,Transitorio
15696,Santa Sofía,Raíces y Tubérculos,Yuca consumo en fresco,2019,12.000000,Transitorio
15720,Sativanorte,Raíces y Tubérculos,Papa todas las variedades,2019,83.000000,Transitorio
15720,Sativanorte,Raíces y Tubérculos,Yuca consumo en fresco,2019,3.000000,Transitorio
15720,Sativanorte,Raíces y Tubérculos,Yuca consumo en fresco,2019,3.000000,Transitorio
15723,Sativasur,Raíces y Tubérculos,Papa todas las variedades,2019,11.000000,Transitorio
15723,Sativasur,Raíces y Tubérculos,Papa todas las variedades,2019,4.000000,Transitorio
15740,Siachoque,Raíces y Tubérculos,Arracacha,2019,6.000000,Transitorio
15740,Siachoque,Raíces y Tubérculos,Arracacha,2019,6.000000,Transitorio
15740,Siachoque,Raíces y Tubérculos,Papa Criolla,2019,50.000000,Transitorio
15740,Siachoque,Raíces y Tubérculos,Papa Criolla,2019,50.000000,Transitorio
15740,Siachoque,Raíces y Tubérculos,Papa todas las variedades,2019,3500.000000,Transitorio
15740,Siachoque,Raíces y Tubérculos,Papa todas las variedades,2019,3500.000000,Transitorio
15753,Soatá,Raíces y Tubérculos,Papa todas las variedades,2019,10.000000,Transitorio
15753,Soatá,Raíces y Tubérculos,Yuca consumo en fresco,2019,20.000000,Transitorio
15755,Socotá,Raíces y Tubérculos,Papa Criolla,2019,8.000000,Transitorio
15755,Socotá,Raíces y Tubérculos,Papa Criolla,2019,7.000000,Transitorio
15755,Socotá,Raíces y Tubérculos,Papa todas las variedades,2019,270.000000,Transitorio
15755,Socotá,Raíces y Tubérculos,Papa todas las variedades,2019,260.000000,Transitorio
15757,Socha,Raíces y Tubérculos,Papa todas las variedades,2019,40.000000,Transitorio
15757,Socha,Raíces y Tubérculos,Papa todas las variedades,2019,42.000000,Transitorio
15759,Sogamoso,Raíces y Tubérculos,Papa Criolla,2019,7.000000,Transitorio
15759,Sogamoso,Raíces y Tubérculos,Papa Criolla,2019,6.000000,Transitorio
15759,Sogamoso,Raíces y Tubérculos,Papa todas las variedades,2019,240.000000,Transitorio
15759,Sogamoso,Raíces y Tubérculos,Papa todas las variedades,2019,240.000000,Transitorio
15761,Somondoco,Raíces y Tubérculos,Arracacha,2019,21.000000,Transitorio
15761,Somondoco,Raíces y Tubérculos,Papa todas las variedades,2019,10.000000,Transitorio
15761,Somondoco,Raíces y Tubérculos,Papa todas las variedades,2019,8.000000,Transitorio
15761,Somondoco,Raíces y Tubérculos,Yuca consumo en fresco,2019,18.000000,Transitorio
15762,Sora,Raíces y Tubérculos,Papa todas las variedades,2019,120.000000,Transitorio
15762,Sora,Raíces y Tubérculos,Papa todas las variedades,2019,45.000000,Transitorio
15763,Sotaquirá,Raíces y Tubérculos,Papa todas las variedades,2019,470.000000,Transitorio
15764,Soracá,Raíces y Tubérculos,Arracacha,2019,15.000000,Transitorio
15764,Soracá,Raíces y Tubérculos,Arracacha,2019,15.000000,Transitorio
15764,Soracá,Raíces y Tubérculos,Papa Criolla,2019,600.000000,Transitorio
15764,Soracá,Raíces y Tubérculos,Papa Criolla,2019,700.000000,Transitorio
15764,Soracá,Raíces y Tubérculos,Papa todas las variedades,2019,820.000000,Transitorio
15764,Soracá,Raíces y Tubérculos,Papa todas las variedades,2019,610.000000,Transitorio
