Año,geo,Zona,Grado,Número
2018,15022,Urbana,Ciclo 3 Adultos,16
2018,15022,Urbana,Ciclo 4 Adultos,6
2018,15022,Urbana,Ciclo 5 Adultos,1
2018,15022,Urbana,Ciclo 6 Adultos,11
2018,15022,Urbana,Cuarto,9
2018,15022,Urbana,Decimo,22
2018,15022,Urbana,Noveno,21
2018,15022,Urbana,Octavo,19
2018,15022,Urbana,Once,19
2018,15022,Urbana,Primero,9
2018,15022,Urbana,Quinto,4
2018,15022,Urbana,Segundo,9
2018,15022,Urbana,Septimo,20
2018,15022,Urbana,Sexto,30
2018,15022,Urbana,Tercero,3
2018,15022,Urbana,Transición,3
2018,15047,Rural,Ciclo 3 Adultos,3
2018,15047,Rural,Ciclo 4 Adultos,2
2018,15047,Rural,Ciclo 6 Adultos,4
2018,15047,Rural,Cuarto,143
2018,15047,Rural,Decimo,45
2018,15047,Rural,Noveno,50
2018,15047,Rural,Octavo,57
2018,15047,Rural,Once,47
2018,15047,Rural,Primero,129
2018,15047,Rural,Quinto,136
2018,15047,Rural,Segundo,134
2018,15047,Rural,Septimo,61
2018,15047,Rural,Sexto,86
2018,15047,Rural,Tercero,163
2018,15047,Rural,Transición,100
2018,15047,Urbana,Cuarto,181
2018,15047,Urbana,Decimo,202
2018,15047,Urbana,Jardín I,13
2018,15047,Urbana,Noveno,214
2018,15047,Urbana,Octavo,146
2018,15047,Urbana,Once,126
2018,15047,Urbana,Primero,144
2018,15047,Urbana,Quinto,169
2018,15047,Urbana,Segundo,165
2018,15047,Urbana,Septimo,211
2018,15047,Urbana,Sexto,275
2018,15047,Urbana,Tercero,152
2018,15047,Urbana,Transición,152
2018,15051,Rural,Cuarto,36
2018,15051,Rural,Primero,31
2018,15051,Rural,Quinto,24
2018,15051,Rural,Segundo,23
2018,15051,Rural,Tercero,39
2018,15051,Rural,Transición,13
2018,15051,Urbana,Cuarto,66
2018,15051,Urbana,Decimo,117
2018,15051,Urbana,Noveno,89
2018,15051,Urbana,Octavo,106
2018,15051,Urbana,Once,53
2018,15051,Urbana,Primero,61
2018,15051,Urbana,Quinto,64
2018,15051,Urbana,Segundo,45
2018,15051,Urbana,Septimo,91
2018,15051,Urbana,Sexto,134
2018,15051,Urbana,Tercero,67
2018,15051,Urbana,Transición,52
2018,15087,Rural,Cuarto,45
2018,15087,Rural,Decimo,12
2018,15087,Rural,Noveno,9
2018,15087,Rural,Octavo,9
2018,15087,Rural,Once,6
2018,15087,Rural,Primero,36
2018,15087,Rural,Quinto,31
2018,15087,Rural,Segundo,20
2018,15087,Rural,Septimo,10
2018,15087,Rural,Sexto,5
2018,15087,Rural,Tercero,43
2018,15087,Rural,Transición,26
2018,15087,Urbana,Ciclo 1 Adultos,85
2018,15087,Urbana,Cuarto,105
2018,15087,Urbana,Decimo,132
2018,15087,Urbana,Jardín I,18
2018,15087,Urbana,Noveno,125
2018,15087,Urbana,Octavo,116
2018,15087,Urbana,Once,127
2018,15087,Urbana,Prejardín,12
2018,15087,Urbana,Primero,71
2018,15087,Urbana,Quinto,105
2018,15087,Urbana,Segundo,107
2018,15087,Urbana,Septimo,121
2018,15087,Urbana,Sexto,144
2018,15087,Urbana,Tercero,83
2018,15087,Urbana,Transición,80
2018,15092,Rural,Cuarto,23
2018,15092,Rural,Decimo,12
2018,15092,Rural,Noveno,6
2018,15092,Rural,Octavo,12
2018,15092,Rural,Once,12
2018,15092,Rural,Primero,21
2018,15092,Rural,Quinto,9
2018,15092,Rural,Segundo,14
2018,15092,Rural,Septimo,12
2018,15092,Rural,Sexto,16
2018,15092,Rural,Tercero,18
2018,15092,Rural,Transición,10
2018,15092,Urbana,Cuarto,6
2018,15092,Urbana,Decimo,14
2018,15092,Urbana,Noveno,4
2018,15092,Urbana,Octavo,9
2018,15092,Urbana,Once,13
2018,15092,Urbana,Primero,6
2018,15092,Urbana,Quinto,2
2018,15092,Urbana,Segundo,1
2018,15092,Urbana,Septimo,12
2018,15092,Urbana,Sexto,14
2018,15092,Urbana,Tercero,12
2018,15092,Urbana,Transición,5
2018,15097,Rural,Cuarto,42
2018,15097,Rural,Noveno,12
2018,15097,Rural,Octavo,16
2018,15097,Rural,Primero,31
2018,15097,Rural,Quinto,28
2018,15097,Rural,Segundo,37
2018,15097,Rural,Septimo,18
2018,15097,Rural,Sexto,16
2018,15097,Rural,Tercero,30
2018,15097,Rural,Transición,26
2018,15097,Urbana,Ciclo 4 Adultos,5
2018,15097,Urbana,Ciclo 5 Adultos,2
2018,15097,Urbana,Ciclo 6 Adultos,1
2018,15097,Urbana,Cuarto,33
2018,15097,Urbana,Decimo,95
2018,15097,Urbana,Noveno,81
2018,15097,Urbana,Octavo,90
2018,15097,Urbana,Once,69
2018,15097,Urbana,Primero,43
2018,15097,Urbana,Quinto,45
2018,15097,Urbana,Segundo,52
2018,15097,Urbana,Septimo,76
2018,15097,Urbana,Sexto,102
2018,15097,Urbana,Tercero,54
2018,15097,Urbana,Transición,35
2018,15104,Rural,Cuarto,38
2018,15104,Rural,Decimo,35
2018,15104,Rural,Noveno,27
2018,15104,Rural,Octavo,32
2018,15104,Rural,Once,16
2018,15104,Rural,Primero,40
