geo,Municipio,Desagregación cultivo,Año,Producción(tn)
15600,Ráquira,Tomate,2019,930.000000
15600,Ráquira,Cebolla De Bulbo,2019,1442.000000
15600,Ráquira,Cebolla De Bulbo,2019,1949.000000
15600,Ráquira,Zanahoria,2019,42.000000
15600,Ráquira,Zanahoria,2019,42.000000
15621,Rondón,Tomate Invernadero,2019,240.000000
15621,Rondón,Tomate Invernadero,2019,246.000000
15632,Saboyá,Lechuga,2019,928.000000
15632,Saboyá,Lechuga,2019,848.000000
15638,Sáchica,Tomate Invernadero,2019,7650.000000
15638,Sáchica,Tomate Invernadero,2019,4400.000000
15638,Sáchica,Cebolla De Bulbo,2019,1680.000000
15638,Sáchica,Cebolla De Bulbo,2019,1440.000000
15646,Samacá,Otras hortalizas,2019,18.000000
15646,Samacá,Tomate,2019,108.000000
15646,Samacá,Tomate,2019,160.000000
15646,Samacá,Lechuga,2019,42.000000
15646,Samacá,Lechuga,2019,60.000000
