geo,Municipio,Cultivo,Año,Área Sembrada (ha)
15816,TOGUI,Cafe,2012,700
15664,SAN JOSE DE PARE,Cafe,2012,658
15090,BERBEO,Cafe,2012,521
15531,PAUNA,Cafe,2012,509
15109,BUENAVISTA,Cafe,2012,424
15185,CHITARAQUE,Cafe,2012,415
15212,COPER,Cafe,2012,389
15325,GUAYATÁ,Cafe,2012,317
15514,PÁEZ,Cafe,2012,239
15442,MARIPÍ,Cafe,2012,211
15533,PAYA,Cafe,2012,210
15550,PISBA,Cafe,2012,191
15106,BRICEÑO,Cafe,2012,190
15681,SAN PABLO DE BORBUR,Cafe,2012,185
15660,SAN EDUARDO,Cafe,2012,183
15135,CAMPOHERMOSO,Cafe,2012,170
15842,UMBITA,Cafe,2012,150
15507,OTANCHE,Cafe,2012,120
15425,MACANAL,Cafe,2012,116
15480,MUZO,Cafe,2012,100
15686,SANTANA,Cafe,2012,93
15172,CHINAVITA,Cafe,2012,91
15580,QUIPAMA,Cafe,2012,91
15299,GARAGOA,Cafe,2012,90
15673,SAN MATEO,Cafe,2012,85
15621,RONDON,Cafe,2012,69
15511,PACHAVITA,Cafe,2012,61
15755,SOCOTA,Cafe,2012,40
15377,LABRANZAGRANDE,Cafe,2012,39
15798,TENZA,Cafe,2012,38
15761,SOMONDOCO,Cafe,2012,37
15518,PAJARITO,Cafe,2012,34
15832,TUNUNGUA,Cafe,2012,33
15022,ALMEIDA,Cafe,2012,32
15778,SUTATENZA,Cafe,2012,31
15236,CHIVOR,Cafe,2012,28
15464,MONGUA,Cafe,2012,23
15401,LA VICTORIA,Cafe,2012,22
15317,GUACAMAYAS,Cafe,2012,17
15696,SANTA SOFIA,Cafe,2012,15
15322,GUATEQUE,Cafe,2012,13
15667,SAN LUIS DE GACENO,Cafe,2012,11
15690,SANTA MARIA,Cafe,2012,8
15774,SUSACON,Cafe,2012,8
15218,COVARACHÍA,Cafe,2012,4
15248,EL ESPINO,Cafe,2012,3
15380,LA CAPILLA,Cafe,2012,2
15469,MONIQUIRÁ,Cafe,2013,1
15897,ZETAQUIRA,Cafe,2013,1
15455,MIRAFLORES,Cafe,2013,972
15664,SAN JOSE DE PARE,Cafe,2013,725
15816,TOGUI,Cafe,2013,669
15686,SANTANA,Cafe,2013,542
15106,BRICEÑO,Cafe,2013,494
15185,CHITARAQUE,Cafe,2013,469
15090,BERBEO,Cafe,2013,461
15109,BUENAVISTA,Cafe,2013,443
15531,PAUNA,Cafe,2013,399
15442,MARIPÍ,Cafe,2013,348
15325,GUAYATÁ,Cafe,2013,342
15212,COPER,Cafe,2013,307
15514,PÁEZ,Cafe,2013,272
15681,SAN PABLO DE BORBUR,Cafe,2013,254
15660,SAN EDUARDO,Cafe,2013,199
15507,OTANCHE,Cafe,2013,193
15832,TUNUNGUA,Cafe,2013,178
15135,CAMPOHERMOSO,Cafe,2013,176
15580,QUIPAMA,Cafe,2013,125
15299,GARAGOA,Cafe,2013,112
15511,PACHAVITA,Cafe,2013,110
15401,LA VICTORIA,Cafe,2013,109
15550,PISBA,Cafe,2013,104
15425,MACANAL,Cafe,2013,88
15621,RONDON,Cafe,2013,85
15798,TENZA,Cafe,2013,71
15480,MUZO,Cafe,2013,71
15022,ALMEIDA,Cafe,2013,65
15172,CHINAVITA,Cafe,2013,62
15377,LABRANZAGRANDE,Cafe,2013,52
15761,SOMONDOCO,Cafe,2013,43
15322,GUATEQUE,Cafe,2013,42
15518,PAJARITO,Cafe,2013,32
15533,PAYA,Cafe,2013,25
15317,GUACAMAYAS,Cafe,2013,17
