Unidad,Subgrupo,geo,Area,Periodo,Valor
Razón x 100¬000 nacidos vivos,Todos,15673,San Mateo,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15676,San Miguel De Sema,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15681,San Pablo De Borbur,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15693,Santa Rosa De Viterbo,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15696,Santa Sofía,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15690,Santa María,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15686,Santana,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15720,Sativanorte,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15723,Sativasur,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15740,Siachoque,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15753,Soatá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15757,Socha,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15755,Socotá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15759,Sogamoso,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15761,Somondoco,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15762,Sora,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15764,Soracá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15763,Sotaquirá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15774,Susacón,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15776,Sutamarchán,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15778,Sutatenza,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15790,Tasco,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15798,Tenza,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15806,Tibasosa,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15804,Tibaná,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15808,Tinjacá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15810,Tipacoque,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15814,Toca,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15816,Togüí,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15820,Tópaga,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15822,Tota,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15001,Tunja,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15832,Tununguá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15835,Turmequé,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15837,Tuta,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15839,TUTAZÁ,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15842,Úmbita,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15861,Ventaquemada,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15407,Villa De Leyva,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15879,Viracachá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15897,Zetaquira,2013,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15022,Almeida,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15022,Almeida,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15022,Almeida,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15022,Almeida,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15022,Almeida,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15047,Aquitania,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15047,Aquitania,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15047,Aquitania,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15047,Aquitania,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15047,Aquitania,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15051,Arcabuco,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15051,Arcabuco,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15051,Arcabuco,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15051,Arcabuco,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15051,Arcabuco,2014,0.000000
